,cell_1,cell_2,tension,type,distance_to_boundary
4,cell_9,cell_12,15.068040966088349,Midbrain_awayfrom_boundary,5
7,cell_10,cell_12,67.24518597127079,Midbrain_awayfrom_boundary,4
8,cell_10,cell_34,72.00541536362104,Midbrain_awayfrom_boundary,3
9,cell_10,cell_46,16.84197751290851,Midbrain_awayfrom_boundary,4
10,cell_10,cell_62,21.10898793818035,Midbrain_awayfrom_boundary,4
11,cell_12,cell_46,63.3075946704671,Midbrain_awayfrom_boundary,5
12,cell_12,cell_50,73.39447932637435,Midbrain_awayfrom_boundary,5
13,cell_19,cell_20,128.17451020044493,Hindbrain_awayfrom_boundary,1
14,cell_19,cell_25,198.29964066012488,Hindbrain_awayfrom_boundary,2
15,cell_19,cell_32,107.39884768383018,Hindbrain_awayfrom_boundary,2
17,cell_20,cell_32,187.02395248324123,Hindbrain_awayfrom_boundary,1
18,cell_20,cell_42,99.36921739890175,Hindbrain_awayfrom_boundary,1
19,cell_22,cell_29,183.4658654037522,heterotypic,0
22,cell_25,cell_32,153.63290005677777,Hindbrain_awayfrom_boundary,2
23,cell_25,cell_35,107.59788770114956,Hindbrain_awayfrom_boundary,3
24,cell_25,cell_52,128.53457647557167,Hindbrain_awayfrom_boundary,3
25,cell_25,cell_64,103.119184445103,Hindbrain_awayfrom_boundary,3
29,cell_28,cell_34,0.4686745617610106,Midbrain_awayfrom_boundary,3
30,cell_28,cell_60,140.1300407587312,Midbrain_awayfrom_boundary,2
31,cell_28,cell_94,123.82420534418172,Midbrain_awayfrom_boundary,2
32,cell_29,cell_54,15.724088907453051,heterotypic,0
34,cell_32,cell_42,189.1831801526779,Hindbrain_awayfrom_boundary,1
35,cell_32,cell_64,130.09310912876836,Hindbrain_awayfrom_boundary,2
36,cell_32,cell_72,166.03307141424884,Hindbrain_awayfrom_boundary,2
37,cell_32,cell_78,162.78387743561154,Hindbrain_awayfrom_boundary,2
38,cell_34,cell_62,73.11325951002749,Midbrain_awayfrom_boundary,3
39,cell_34,cell_93,153.69525210705777,Midbrain_awayfrom_boundary,3
40,cell_34,cell_94,123.7910233128613,Midbrain_awayfrom_boundary,2
41,cell_35,cell_52,177.90459269334917,Hindbrain_awayfrom_boundary,4
42,cell_35,cell_65,364.9301932783538,Hindbrain_awayfrom_boundary,4
54,cell_42,cell_72,196.58219146077224,Hindbrain_awayfrom_boundary,1
55,cell_42,cell_74,211.91990286288737,Hindbrain_awayfrom_boundary,1
56,cell_44,cell_60,2.4193109386999345,Midbrain_awayfrom_boundary,2
57,cell_44,cell_66,97.23051767330831,Midbrain_awayfrom_boundary,1
58,cell_44,cell_104,145.09552261968298,Midbrain_awayfrom_boundary,1
59,cell_46,cell_50,34.033793927010784,Midbrain_awayfrom_boundary,5
60,cell_46,cell_62,13.441533430550134,Midbrain_awayfrom_boundary,4
61,cell_46,cell_76,12.75676118959138,Midbrain_awayfrom_boundary,4
62,cell_46,cell_98,101.88345622132432,Midbrain_awayfrom_boundary,5
69,cell_50,cell_98,98.15357123411552,Midbrain_awayfrom_boundary,5
71,cell_52,cell_64,232.1298242227381,Hindbrain_awayfrom_boundary,3
72,cell_52,cell_65,416.47083936773,Hindbrain_awayfrom_boundary,4
86,cell_60,cell_94,115.38068693329316,Midbrain_awayfrom_boundary,2
87,cell_60,cell_104,145.67862906490353,Midbrain_awayfrom_boundary,1
90,cell_62,cell_76,7.658430693564198,Midbrain_awayfrom_boundary,4
91,cell_62,cell_93,92.27290567143218,Midbrain_awayfrom_boundary,3
92,cell_64,cell_65,196.7038347374449,Hindbrain_awayfrom_boundary,3
93,cell_64,cell_78,32.74005695364701,Hindbrain_awayfrom_boundary,3
94,cell_64,cell_82,176.73275067354524,Hindbrain_awayfrom_boundary,3
95,cell_65,cell_68,102.64154452643712,Hindbrain_awayfrom_boundary,4
96,cell_65,cell_82,72.27288663368935,Hindbrain_awayfrom_boundary,4
97,cell_65,cell_114,117.03976616887466,Hindbrain_awayfrom_boundary,4
98,cell_65,cell_145,98.72396133436706,Hindbrain_awayfrom_boundary,4
100,cell_66,cell_104,141.04954656012384,Midbrain_awayfrom_boundary,1
101,cell_68,cell_85,0.4724242565188085,Hindbrain_awayfrom_boundary,5
102,cell_68,cell_140,157.8245092978165,Hindbrain_awayfrom_boundary,5
103,cell_68,cell_145,158.2355163845812,Hindbrain_awayfrom_boundary,5
111,cell_72,cell_74,74.55714914359983,Hindbrain_awayfrom_boundary,1
112,cell_72,cell_78,158.8971824522132,Hindbrain_awayfrom_boundary,2
113,cell_72,cell_99,186.2676390476972,Hindbrain_awayfrom_boundary,2
114,cell_72,cell_109,213.7897821934244,Hindbrain_awayfrom_boundary,2
115,cell_74,cell_109,271.4133029026686,Hindbrain_awayfrom_boundary,1
116,cell_74,cell_124,170.92220089113408,Hindbrain_awayfrom_boundary,1
121,cell_76,cell_93,95.6952945074086,Midbrain_awayfrom_boundary,3
122,cell_76,cell_98,115.1054234710936,Midbrain_awayfrom_boundary,4
123,cell_76,cell_127,107.53713158853188,Midbrain_awayfrom_boundary,4
124,cell_78,cell_82,189.5106124739333,Hindbrain_awayfrom_boundary,3
125,cell_78,cell_99,216.1331856822441,Hindbrain_awayfrom_boundary,3
126,cell_78,cell_100,217.2129970739941,Hindbrain_awayfrom_boundary,3
132,cell_82,cell_100,93.91481796219558,Hindbrain_awayfrom_boundary,4
133,cell_82,cell_110,69.90952006928123,Hindbrain_awayfrom_boundary,4
134,cell_82,cell_114,60.66024722442618,Hindbrain_awayfrom_boundary,4
142,cell_87,cell_134,79.57764408512926,Midbrain_awayfrom_boundary,5
151,cell_93,cell_94,116.38394423564276,Midbrain_awayfrom_boundary,2
152,cell_93,cell_127,159.26261873052965,Midbrain_awayfrom_boundary,3
153,cell_93,cell_128,116.7131125169546,Midbrain_awayfrom_boundary,3
154,cell_93,cell_130,130.44803974903633,Midbrain_awayfrom_boundary,3
155,cell_94,cell_104,174.7574336273307,Midbrain_awayfrom_boundary,1
156,cell_94,cell_130,52.27291583843935,Midbrain_awayfrom_boundary,2
157,cell_94,cell_138,55.78590281338968,Midbrain_awayfrom_boundary,1
158,cell_94,cell_155,30.936103699376627,Midbrain_awayfrom_boundary,2
159,cell_94,cell_170,155.5931913477233,Midbrain_awayfrom_boundary,1
164,cell_98,cell_101,102.31098541740629,Midbrain_awayfrom_boundary,5
165,cell_98,cell_127,193.1679205946056,Midbrain_awayfrom_boundary,4
166,cell_98,cell_134,214.11352331437072,Midbrain_awayfrom_boundary,5
167,cell_99,cell_100,127.94418248410489,Hindbrain_awayfrom_boundary,3
168,cell_99,cell_109,100.56413068504156,Hindbrain_awayfrom_boundary,2
169,cell_99,cell_123,85.91856513376378,Hindbrain_awayfrom_boundary,3
170,cell_99,cell_147,108.3759607310151,Hindbrain_awayfrom_boundary,2
171,cell_100,cell_110,28.597132073051235,Hindbrain_awayfrom_boundary,4
172,cell_100,cell_123,39.89690681387671,Hindbrain_awayfrom_boundary,3
173,cell_101,cell_134,199.9664390558741,Midbrain_awayfrom_boundary,5
175,cell_102,cell_132,245.5271192811743,heterotypic,0
177,cell_104,cell_138,159.0163841411204,Midbrain_awayfrom_boundary,1
185,cell_109,cell_124,117.29540472710514,Hindbrain_awayfrom_boundary,1
186,cell_109,cell_147,116.85269470196384,Hindbrain_awayfrom_boundary,2
187,cell_110,cell_114,10.331473099486995,Hindbrain_awayfrom_boundary,4
188,cell_110,cell_123,23.70069450147945,Hindbrain_awayfrom_boundary,3
189,cell_110,cell_167,201.5190298462637,Hindbrain_awayfrom_boundary,3
190,cell_110,cell_175,550.1879256548607,Hindbrain_awayfrom_boundary,4
191,cell_110,cell_196,465.3002709188637,Hindbrain_awayfrom_boundary,4
198,cell_114,cell_145,116.2467358541498,Hindbrain_awayfrom_boundary,5
199,cell_114,cell_175,549.9554234207646,Hindbrain_awayfrom_boundary,5
200,cell_114,cell_182,155.800812687603,Hindbrain_awayfrom_boundary,5
210,cell_123,cell_147,118.22117656652205,Hindbrain_awayfrom_boundary,2
211,cell_123,cell_167,182.93880882260305,Hindbrain_awayfrom_boundary,3
213,cell_124,cell_147,2.0655114514584487,Hindbrain_awayfrom_boundary,1
214,cell_124,cell_169,0.696694401590083,Hindbrain_awayfrom_boundary,1
216,cell_124,cell_194,122.29093940976522,Hindbrain_awayfrom_boundary,1
217,cell_127,cell_128,119.7789289682774,Midbrain_awayfrom_boundary,4
218,cell_127,cell_134,278.5172503889093,Midbrain_awayfrom_boundary,4
219,cell_128,cell_130,13.013408638338472,Midbrain_awayfrom_boundary,3
220,cell_128,cell_153,11.336012487012766,Midbrain_awayfrom_boundary,4
224,cell_130,cell_153,25.85125115902567,Midbrain_awayfrom_boundary,3
225,cell_130,cell_155,28.05800688181644,Midbrain_awayfrom_boundary,2
226,cell_130,cell_197,33.23302406611613,Midbrain_awayfrom_boundary,3
227,cell_131,cell_134,80.22093912042529,Midbrain_awayfrom_boundary,5
231,cell_132,cell_150,237.1278519037369,heterotypic,0
