,distance
cell_1,9.0
cell_2,9.0
cell_3,8.0
cell_4,8.0
cell_5,25.0
cell_6,25.0
cell_7,7.0
cell_8,8.0
cell_9,6.0
cell_10,4.0
cell_11,25.0
cell_12,5.0
cell_13,24.0
cell_14,24.0
cell_15,24.0
cell_16,7.0
cell_17,11.0
cell_18,25.0
cell_19,2.0
cell_20,1.0
cell_21,9.0
cell_22,0.0
cell_23,24.0
cell_24,8.0
cell_25,3.0
cell_26,10.0
cell_27,8.0
cell_28,3.0
cell_29,0.0
cell_30,25.0
cell_31,25.0
cell_32,2.0
cell_33,12.0
cell_34,3.0
cell_35,4.0
cell_36,24.0
cell_37,23.0
cell_38,7.0
cell_39,24.0
cell_40,11.0
cell_41,23.0
cell_42,1.0
cell_43,24.0
cell_44,2.0
cell_45,24.0
cell_46,5.0
cell_47,24.0
cell_48,23.0
cell_49,23.0
cell_50,6.0
cell_51,9.0
cell_52,4.0
cell_53,7.0
cell_54,0.0
cell_55,13.0
cell_56,23.0
cell_57,8.0
cell_58,7.0
cell_59,10.0
cell_60,2.0
cell_61,8.0
cell_62,4.0
cell_63,22.0
cell_64,3.0
cell_65,4.0
cell_66,1.0
cell_67,23.0
cell_68,5.0
cell_69,12.0
cell_70,10.0
cell_71,23.0
cell_72,2.0
cell_73,24.0
cell_74,1.0
cell_75,9.0
cell_76,4.0
cell_77,23.0
cell_78,3.0
cell_79,23.0
cell_80,13.0
cell_81,11.0
cell_82,4.0
cell_83,14.0
cell_84,23.0
cell_85,6.0
cell_86,12.0
cell_87,6.0
cell_88,23.0
cell_89,23.0
cell_90,11.0
cell_91,7.0
cell_92,22.0
cell_93,3.0
cell_94,2.0
cell_95,13.0
cell_96,24.0
cell_97,24.0
cell_98,5.0
cell_99,3.0
cell_100,4.0
cell_101,6.0
cell_102,0.0
cell_103,25.0
cell_104,1.0
cell_105,9.0
cell_106,23.0
cell_107,23.0
cell_108,24.0
cell_109,2.0
cell_110,4.0
cell_111,10.0
cell_112,22.0
cell_113,22.0
cell_114,5.0
cell_115,7.0
cell_116,24.0
cell_117,12.0
cell_118,10.0
cell_119,14.0
cell_120,22.0
cell_121,23.0
cell_122,11.0
cell_123,3.0
cell_124,1.0
cell_125,24.0
cell_126,24.0
cell_127,4.0
cell_128,4.0
cell_129,13.0
cell_130,3.0
cell_131,6.0
cell_132,0.0
cell_133,13.0
cell_134,5.0
cell_135,21.0
cell_136,21.0
cell_137,21.0
cell_138,1.0
cell_139,14.0
cell_140,6.0
cell_141,22.0
cell_142,15.0
cell_143,12.0
cell_144,14.0
cell_145,5.0
cell_146,8.0
cell_147,2.0
cell_148,11.0
cell_149,10.0
cell_150,0.0
cell_151,23.0
cell_152,22.0
cell_153,4.0
cell_154,25.0
cell_155,2.0
cell_156,21.0
cell_157,14.0
cell_158,26.0
cell_159,0.0
cell_160,25.0
cell_161,23.0
cell_162,6.0
cell_163,21.0
cell_164,11.0
cell_165,12.0
cell_166,16.0
cell_167,3.0
cell_168,0.0
cell_169,2.0
cell_170,1.0
cell_171,0.0
cell_172,9.0
cell_173,20.0
cell_174,15.0
cell_175,5.0
cell_176,22.0
cell_177,30.0
cell_178,7.0
cell_179,7.0
cell_180,20.0
cell_181,15.0
cell_182,6.0
cell_183,26.0
cell_184,6.0
cell_185,25.0
cell_186,15.0
cell_187,22.0
cell_188,21.0
cell_189,8.0
cell_190,24.0
cell_191,12.0
cell_192,27.0
cell_193,20.0
cell_194,1.0
cell_195,3.0
cell_196,4.0
cell_197,3.0
cell_198,5.0
cell_199,1.0
cell_200,4.0
cell_201,8.0
cell_202,13.0
cell_203,23.0
cell_204,21.0
cell_205,16.0
cell_206,7.0
cell_207,7.0
cell_208,28.0
cell_209,17.0
cell_210,14.0
cell_211,6.0
cell_212,5.0
cell_213,24.0
cell_214,2.0
cell_215,29.0
cell_216,11.0
cell_217,20.0
cell_218,10.0
cell_219,0.0
cell_220,7.0
cell_221,16.0
cell_222,9.0
cell_223,22.0
cell_224,1.0
cell_225,6.0
cell_226,4.0
cell_227,28.0
cell_228,2.0
cell_229,30.0
cell_230,3.0
cell_231,24.0
cell_232,17.0
cell_233,21.0
cell_234,12.0
cell_235,4.0
cell_236,5.0
cell_237,19.0
cell_238,28.0
cell_239,15.0
cell_240,20.0
cell_241,23.0
cell_242,19.0
cell_243,5.0
cell_244,0.0
cell_245,19.0
cell_246,17.0
cell_247,29.0
cell_248,27.0
cell_249,25.0
cell_250,3.0
cell_251,1.0
cell_252,26.0
cell_253,5.0
cell_254,30.0
cell_255,17.0
cell_256,7.0
cell_257,8.0
cell_258,6.0
cell_259,3.0
cell_260,19.0
cell_261,12.0
cell_262,4.0
cell_263,18.0
cell_264,1.0
cell_265,11.0
cell_266,26.0
cell_267,18.0
cell_268,14.0
