source_gene,target_gene,ab_vs_aa_pval,ab_vs_aa_stat,ab_vs_bb_pval,ab_vs_bb_stat,ba_vs_aa_pval,ba_vs_aa_stat,ba_vs_bb_pval,ba_vs_bb_stat,ab_likelihood,ba_likelihood,ab_type,ba_type,ab_rank,ba_rank,ab_likelihood_abs,ba_likelihood_abs,ab_rank_abs,ba_rank_abs
Dll1,Notch1,0.8647184088611417,0.1703709599273644,0.01147942914515201,-2.5277554159633957,0.0013041503847798172,3.2150648889518765,0.8387623772215026,-0.20347680009645921,0.1703709599273644,0.20347680009645921,inconsistent,inconsistent,214.0,211.0,0.1703709599273644,0.20347680009645921,214.0,211.0
Jag1,Notch1,0.34507518635949697,0.9441848682426195,0.020479202212174634,2.317450535326787,0.05345371713955301,1.9312372683379306,0.001526515542326917,3.169594986737462,0.9441848682426195,1.9312372683379306,positive,positive,93.0,24.0,0.9441848682426195,1.9312372683379306,93.0,24.0
Wnt5a,Fzd2,0.33948842595493467,0.9551765430766429,0.046925562178887624,1.9869714371835445,0.7374394625166354,-0.33524608243771703,0.4869935127130559,0.6950985989872331,0.9551765430766429,0.33524608243771703,positive,inconsistent,92.0,184.5,0.9551765430766429,0.33524608243771703,92.0,184.5
Igf2,Igf2r,0.6546143103394271,0.4473611657447568,0.9705873564196961,-0.036871634916808047,0.35527817094907843,-0.9243998535413771,0.13199670418289036,-1.5062745671570101,0.036871634916808047,0.9243998535413771,inconsistent,negative,237.0,106.0,0.036871634916808047,0.9243998535413771,237.0,106.0
Igf2,Igf1r,0.6625686708085896,0.4363694909107333,0.7942215441341592,0.2608326766337162,0.2928439261735435,-1.0519032816160498,0.26925344151326147,-1.1047834313962115,0.2608326766337162,1.0519032816160498,positive,negative,198.0,95.0,0.2608326766337162,1.0519032816160498,198.0,95.0
Wnt5a,Fzd5,0.5705984018017872,-0.567170421435613,0.06269691801531099,-1.8613347552447912,0.47087637192393605,-0.7210538691119422,0.02450169953017253,-2.2491697299252906,0.567170421435613,0.7210538691119422,negative,negative,150.0,125.0,0.567170421435613,0.7210538691119422,150.0,125.0
Tgfa,Egfr,0.7868562317593895,-0.27039520091697833,0.7153954560316891,0.36461950084399064,0.1976678987532321,1.2882242905475554,0.05642150544194413,1.9077657029178088,0.27039520091697833,1.2882242905475554,inconsistent,positive,195.5,75.0,0.27039520091697833,1.2882242905475554,195.5,75.0
Hbegf,Egfr,0.9763242388283517,0.029677522051863473,0.8623108947408757,0.1734332457198008,0.8483257037073026,0.19125514211200906,0.7774202059609719,0.282682534362195,0.029677522051863473,0.19125514211200906,positive,positive,239.0,214.0,0.029677522051863473,0.19125514211200906,239.0,214.0
Jag1,Notch2,0.5735889562095435,0.5627737515020037,0.6085767972074574,0.5121060405112229,0.2678787356450607,-1.1079608232695697,0.18574161247559973,-1.3232820086809998,0.5121060405112229,1.1079608232695697,positive,negative,156.0,90.0,0.5121060405112229,1.1079608232695697,156.0,90.0
Dll3,Notch1,0.3967398155472486,0.8474581297032125,4.6285429054830606e-05,-4.073632850253274,0.0003266686373672566,3.593178503242285,0.4149161651940918,-0.8152728164938667,0.8474581297032125,0.8152728164938667,inconsistent,inconsistent,106.0,117.0,0.8474581297032125,0.8152728164938667,106.0,117.0
