,cell_1,cell_2,tension,relative_adhesion
0,cell_0,cell_1,117.2486826887621,9.108110139885141e-17
1,cell_0,cell_2,270.5047775183502,2.008673387276224e-17
2,cell_0,cell_3,230.15558909569816,3.366158313732366e-17
3,cell_1,cell_3,123.5952216079756,2.4219670407905146e-17
4,cell_1,cell_4,520.8723115248986,2.57821022838647e-17
5,cell_2,cell_3,132.5311536139405,8.743467706051284e-18
6,cell_2,cell_12,183.98306057067484,9.813577228233137e-18
7,cell_2,cell_14,196.3785169906224,1.872387731965649e-18
8,cell_3,cell_4,530.0720342574116,1.5501302946101257e-17
9,cell_3,cell_14,160.25164726810615,3.705109041510844e-17
10,cell_3,cell_15,220.6468108366652,1.1298795425306955e-17
11,cell_4,cell_15,503.0967982749907,3.606351665197417e-18
12,cell_5,cell_7,89.33712637331429,4.1730344589200125e-19
13,cell_5,cell_10,53.24574972986297,4.351702910102094e-18
14,cell_5,cell_13,104.72291907232037,8.966200142889118e-18
15,cell_6,cell_8,9.593849982891207,1.6529123141112565e-17
16,cell_6,cell_10,7.2946543483969,5.423679450200008e-18
17,cell_6,cell_16,11.441655928538935,5.675188878034542e-18
18,cell_7,cell_9,35.31106089685075,4.0490318233844553e-19
19,cell_7,cell_13,68.22564765995854,1.634930006344841e-18
20,cell_7,cell_17,58.83942156232889,1.6819996522532231e-18
21,cell_8,cell_11,4.380661009526241,1.662628376093834e-17
22,cell_8,cell_16,8.212197325099856,1.1745481621789721e-17
23,cell_9,cell_17,73.69335835531547,2.717794597143711e-18
24,cell_9,cell_18,133.43928047266303,2.785703520685973e-18
25,cell_10,cell_13,80.143382977809,1.6849275890349136e-17
26,cell_10,cell_16,14.458581637491465,5.543451162806328e-18
27,cell_10,cell_19,63.67611069511317,1.4483913787944432e-17
28,cell_11,cell_16,8.641454230647046,8.127736189002635e-18
29,cell_11,cell_21,15.855910908854243,3.1520362708814034e-18
30,cell_11,cell_25,42.42969052406017,5.2835471744030366e-18
31,cell_12,cell_14,19.72633945261428,4.211971972876719e-18
32,cell_12,cell_23,18.854011572478065,1.153306180139728e-17
33,cell_13,cell_17,105.73810436386822,6.876919113213852e-18
34,cell_13,cell_19,103.690247794013,3.802455323898245e-18
35,cell_13,cell_20,100.73342895212016,1.3097598311347565e-17
36,cell_13,cell_22,122.03117765124078,1.0589075312205585e-17
37,cell_13,cell_24,132.52461409328208,2.0984258336416345e-17
38,cell_14,cell_15,102.10024352130954,1.140673517771151e-17
39,cell_14,cell_23,29.28868862404847,4.981726457136732e-17
40,cell_15,cell_23,94.35764567574724,1.3333927183463064e-17
41,cell_16,cell_19,66.65285161761444,2.685804963443258e-17
42,cell_16,cell_25,46.39690777657492,1.1480284715778453e-17
43,cell_17,cell_18,81.62669370909295,2.602532257044847e-17
44,cell_17,cell_22,93.26046178987328,6.707338946443915e-18
45,cell_18,cell_22,90.09123887887635,1.0281201381133378e-18
46,cell_18,cell_26,90.19446408787675,1.3894024403808969e-18
47,cell_18,cell_27,36.51585958574278,1.2562084258472036e-17
48,cell_19,cell_20,23.4427131613754,4.359236344133369e-17
49,cell_19,cell_28,179.32930373523777,3.944371390807038e-18
50,cell_20,cell_24,81.71488259859937,3.5390770181526376e-17
51,cell_20,cell_28,181.05542570893508,2.3799097957331577e-18
52,cell_21,cell_25,41.89785357370612,1.2649763776531795e-17
53,cell_21,cell_35,85.69133995843484,1.2353693833970965e-18
54,cell_22,cell_24,130.16513378233788,1.5552645540579418e-17
55,cell_22,cell_26,15.908987151149422,9.830431931133065e-18
56,cell_22,cell_33,53.48424330348615,6.0155637917027675e-18
57,cell_24,cell_28,209.0458521342332,4.053847829305045e-18
58,cell_24,cell_33,187.0294215007412,1.3646482796747326e-18
59,cell_25,cell_35,78.91061632338324,2.1211547297074122e-18
60,cell_25,cell_39,80.20150471607428,7.796530879170584e-18
61,cell_26,cell_27,55.25825925547581,1.0513008718342746e-17
62,cell_26,cell_33,52.3306282908458,6.717467216521575e-18
63,cell_27,cell_33,71.42144971371904,1.847185895553361e-18
64,cell_27,cell_41,100.67850217437568,3.510613596324212e-18
65,cell_28,cell_32,134.4123556883971,1.3814905269427651e-18
66,cell_28,cell_33,223.896359498519,2.175768272277316e-18
67,cell_28,cell_37,9.420521120417868,1.6869851159595255e-18
68,cell_28,cell_44,43.70426826131703,1.3485088829537795e-18
69,cell_29,cell_38,56.29176217676,4.3363705585272763e-19
70,cell_29,cell_42,110.31187078046972,7.955911430774994e-19
71,cell_29,cell_43,116.69429900526453,5.492129416487867e-18
72,cell_30,cell_35,154.58627167204793,6.87018083085164e-19
73,cell_30,cell_38,210.8793793863108,6.335480609220973e-19
74,cell_30,cell_48,146.0970092967994,6.383144680477058e-20
75,cell_30,cell_49,435.75980661445374,5.171563288325832e-19
76,cell_30,cell_50,157.68150995922295,2.0434251127596137e-18
77,cell_31,cell_34,76.67697274318235,4.019232931026535e-18
78,cell_31,cell_51,223.1215633631377,5.707931954065388e-19
79,cell_31,cell_52,156.47388385770336,1.775635047325031e-17
80,cell_31,cell_56,524.2801022656201,2.8239256663680836e-18
81,cell_32,cell_37,134.47299144363782,3.092445044277435e-18
82,cell_32,cell_39,84.084147946792,6.672428999876632e-18
83,cell_32,cell_55,117.08296313192,7.685326309780309e-19
84,cell_33,cell_41,143.64596788995487,4.1397060509018675e-18
85,cell_33,cell_44,235.95534366241225,1.7534325244665358e-18
86,cell_33,cell_47,217.723995579369,4.205729995496483e-18
87,cell_33,cell_53,124.17790551507296,6.990886903272904e-18
88,cell_34,cell_45,39.27757799594785,2.117613831879837e-18
89,cell_34,cell_46,78.36461630051991,5.937253819701701e-18
90,cell_34,cell_52,97.56797890870018,2.0533560824060793e-18
91,cell_35,cell_39,115.69699558166764,6.916383216101461e-19
92,cell_35,cell_48,72.83382383203829,7.230912855406011e-19
93,cell_36,cell_40,64.0541732791971,7.534101263941097e-18
94,cell_36,cell_45,15.136072555801942,7.427767559638577e-18
95,cell_36,cell_62,56.54633014942382,3.394416625870261e-18
96,cell_36,cell_67,89.58832327045366,1.9560338874183674e-18
97,cell_36,cell_76,71.95277489363751,3.548001718113646e-18
98,cell_37,cell_44,30.46986167625501,1.000567956878282e-18
99,cell_37,cell_47,212.96133141499544,1.0924420474680479e-18
100,cell_38,cell_43,144.95011932098825,2.2571084925387385e-19
101,cell_38,cell_49,343.1861066768375,1.535041746589139e-18
102,cell_38,cell_54,151.85406656297124,1.6375017693316186e-18
103,cell_38,cell_60,147.15217959113073,1.77144388744749e-18
104,cell_39,cell_48,78.60852794309473,1.812608218473084e-18
105,cell_39,cell_55,89.05756098197426,1.281160583787216e-18
106,cell_39,cell_59,94.09922364284662,7.59536970144165e-19
107,cell_40,cell_42,188.41036804887827,4.017448991048225e-18
108,cell_40,cell_57,207.71842372289325,2.781036399318705e-19
109,cell_40,cell_62,56.14472208049172,1.6840924604695658e-18
110,cell_41,cell_53,118.46207352082972,2.840034590442214e-18
111,cell_42,cell_43,28.18150967239158,2.9871920565155424e-18
112,cell_42,cell_57,34.5190058470176,8.570141478781984e-19
113,cell_43,cell_54,12.92578408387156,9.907339884201302e-18
114,cell_43,cell_57,21.51734990122649,7.791458788514879e-19
115,cell_44,cell_47,213.4097457654981,3.862105236675693e-18
116,cell_45,cell_46,75.56381226660687,4.356312193304461e-18
117,cell_45,cell_67,82.87530817873316,2.355400676416783e-18
118,cell_46,cell_52,80.17302971518005,1.706132286496801e-17
119,cell_46,cell_67,141.9363127882967,2.398333565218021e-19
120,cell_46,cell_68,101.87439278603364,8.685361837068835e-18
121,cell_47,cell_53,164.3828622433962,7.36115631733356e-18
122,cell_47,cell_58,448.8756236689264,1.4191205518508867e-18
123,cell_47,cell_61,213.00546260786217,1.1927603371219587e-18
124,cell_48,cell_50,133.49444851039507,1.1121572142163374e-18
125,cell_48,cell_59,18.62468915225351,5.847882902765587e-19
126,cell_48,cell_66,99.69118874911986,6.057109729206297e-19
127,cell_48,cell_69,47.46754171460422,3.161625961539984e-18
128,cell_49,cell_50,377.36058333496646,2.1110685377701816e-18
129,cell_49,cell_60,299.2848905614929,6.6010244357655164e-18
130,cell_49,cell_64,295.5627876713732,1.2380434860801966e-17
131,cell_50,cell_64,85.47008932460807,4.3097818266971926e-18
132,cell_50,cell_66,102.8366064881555,1.5659878177394035e-18
133,cell_51,cell_56,518.3909907993437,1.1257013831588787e-18
134,cell_51,cell_65,100.69189944222416,8.621931117395866e-19
135,cell_52,cell_56,488.6475760242329,8.232884746152884e-18
136,cell_52,cell_68,125.9855144818568,9.901851542338016e-18
137,cell_52,cell_77,192.0246848315492,5.6986384845377026e-18
138,cell_53,cell_58,204.67144551265733,2.57411487015201e-18
139,cell_54,cell_57,19.71686537753128,5.398782595671877e-18
140,cell_54,cell_60,165.79473440383052,1.6910522489485222e-17
141,cell_54,cell_70,149.1504146229168,9.263672377960272e-18
142,cell_55,cell_59,97.078522844151,7.296361109653233e-19
143,cell_55,cell_61,111.38238653160955,4.281013809316857e-19
144,cell_55,cell_74,113.12274368604092,3.3666074788747046e-19
145,cell_55,cell_78,130.04143937181266,8.898833395679895e-19
146,cell_56,cell_65,506.98116664015055,3.587581562306469e-18
147,cell_56,cell_77,579.422026268764,8.913137962252113e-19
148,cell_57,cell_62,167.05856917571424,1.5044991352491717e-18
149,cell_57,cell_70,142.82062099553858,1.4031250061604538e-18
150,cell_58,cell_61,478.55549145533536,5.0356579960376354e-20
151,cell_58,cell_71,280.94195706639925,8.751482886541067e-19
152,cell_59,cell_69,52.8398243108172,2.2807690807857496e-18
153,cell_59,cell_74,40.54438597336625,4.677478925852383e-19
154,cell_60,cell_64,11.60783274133483,2.135341334729349e-17
155,cell_60,cell_70,105.05429808108688,6.4367824820098225e-18
156,cell_60,cell_81,39.02303314729748,1.0640413179807136e-17
157,cell_61,cell_71,161.8750843743841,2.896985697282069e-19
158,cell_61,cell_78,82.48222884283115,2.3171421446854918e-18
159,cell_62,cell_70,163.08440867757747,1.591958486029237e-19
160,cell_62,cell_73,80.48637474188901,1.662707314154996e-18
161,cell_62,cell_76,37.41859768389325,1.7115491951479413e-18
162,cell_62,cell_82,128.28012230344677,1.7990386522540057e-18
163,cell_63,cell_71,85.3495045836582,6.97423063216321e-19
164,cell_63,cell_72,100.21428376704102,1.0905012718556488e-17
165,cell_63,cell_83,116.28985393279412,7.176736263272153e-18
166,cell_64,cell_66,45.90504789470443,7.809668759601914e-18
167,cell_64,cell_75,80.80349347806957,4.778887667854321e-18
168,cell_64,cell_81,32.625338553706484,1.2220089767146453e-17
169,cell_64,cell_84,22.900999671438804,5.141614749631076e-17
170,cell_65,cell_77,296.5121519856747,1.5438474440870924e-18
171,cell_65,cell_90,222.90207469612096,1.8325855664053907e-18
172,cell_65,cell_91,430.0776995433442,4.073512026933754e-18
173,cell_65,cell_93,211.4028313106048,7.609842263270382e-18
174,cell_66,cell_69,127.7528519997735,1.817442168203985e-18
175,cell_66,cell_75,55.019065818513454,7.472550846000465e-18
176,cell_67,cell_68,78.90736973018909,5.675476979242211e-18
177,cell_67,cell_76,88.89065717063784,3.3506332597819427e-18
178,cell_67,cell_86,96.35486973610745,8.702673079217825e-19
179,cell_68,cell_77,142.18795746107637,3.2853153524676194e-18
180,cell_68,cell_86,55.73597600799162,1.9114507691358325e-17
181,cell_69,cell_74,46.98806297511212,2.5066816821800032e-18
182,cell_69,cell_75,134.75095056646305,3.2403375115540484e-17
183,cell_69,cell_87,82.49121497777213,8.749230416546406e-18
184,cell_70,cell_73,136.70121334670034,1.36756105669366e-18
185,cell_70,cell_79,113.5616095224885,5.096654947387278e-19
186,cell_70,cell_80,95.43026742656876,2.0602273108482946e-18
187,cell_70,cell_81,112.40976816828196,2.301989380359832e-19
188,cell_71,cell_78,127.40047705713724,3.0086091909786728e-18
189,cell_71,cell_83,107.89397050309908,5.208640741222052e-18
190,cell_72,cell_83,61.15504553040338,6.252652160354045e-17
191,cell_72,cell_97,127.72814179670186,2.797458902331992e-18
192,cell_73,cell_79,85.52527040437951,3.191571530169072e-19
193,cell_73,cell_82,98.2949430856943,1.6544239017165966e-18
194,cell_73,cell_88,121.43540432521353,1.8121598703363695e-18
195,cell_74,cell_78,117.40109481646508,8.724458458171505e-19
196,cell_74,cell_85,124.78378008359864,1.7452902391964143e-18
197,cell_74,cell_87,47.71618424612588,1.3915016605239371e-18
198,cell_75,cell_84,92.26243769909144,7.486350538752811e-18
199,cell_75,cell_87,177.00868529984396,1.098343450094243e-19
200,cell_75,cell_89,116.0483598077454,2.0859359761907542e-17
201,cell_75,cell_94,140.98115770470238,1.2435610524676491e-17
202,cell_76,cell_82,121.83336258281768,6.237987125244099e-18
203,cell_76,cell_86,8.113188127735869,9.066145269139717e-18
204,cell_76,cell_100,45.01137007234133,4.545728616791973e-18
205,cell_77,cell_86,100.05519775677033,2.582753647947064e-18
206,cell_77,cell_91,257.15181385530224,7.249641121076642e-18
207,cell_77,cell_101,387.5213617407931,2.9782542959112322e-18
208,cell_77,cell_105,68.49147771204893,2.5619783883293264e-18
209,cell_77,cell_112,73.75973909203964,4.522910413608944e-19
210,cell_78,cell_83,68.70657427579009,1.1032170467034427e-17
211,cell_78,cell_85,24.12364495155621,1.7913915266592328e-17
212,cell_78,cell_92,40.2976111655172,1.3215363068251168e-18
213,cell_78,cell_99,66.62513692825826,9.250065832015026e-18
214,cell_79,cell_80,73.3589015422076,5.658291814005725e-19
215,cell_79,cell_88,192.8695916735568,2.871727413550972e-19
216,cell_79,cell_98,199.9770410113809,4.134081067917323e-19
