,cell_1,cell_2,tension,type,distance_to_boundary,relative_adhesion,Cdh1,Cdh2,Cdh3,Cdh4,Cdh15,Cdh6,Cdh7,Cdh8,Cdh9,Cdh10,Cdh11,Cdh12,Cdh18,Cdh20,Cdh22,Cdh24,Cdh13,log_tension,log_adhesion
17,cell_6,cell_16,11.441655928538935,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,5.675188878034542e-18,0.0,5.506200100076336e-18,0.0,1.2926107094442417e-19,1.2130177443155415e-21,2.7468936174027596e-23,2.875757505303683e-23,2.6893819755765663e-26,0.0,0.0,4.4908465798921715e-24,0.0,0.0,9.897630489832137e-21,7.773172485212056e-24,2.6534659773697403e-20,2.013881581825464e-21,2.4372607244746853,-39.71042782860616
21,cell_8,cell_11,4.380661009526241,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,1.662628376093834e-17,0.0,1.64457397085772e-17,0.0,6.892251896652237e-23,8.420460300101938e-21,0.0,6.511110665264895e-25,0.0,0.0,1.4901396761070734e-20,9.877878486636727e-20,0.0,0.0,2.8388286883279625e-23,5.2973666934895773e-20,4.159577178358615e-25,5.371365624070589e-21,1.4771996284187188,-38.63554687162906
22,cell_8,cell_16,8.212197325099856,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,1.1745481621789721e-17,0.0,1.1731850651262946e-17,0.0,3.580746710255539e-21,3.808633614876074e-21,0.0,5.154905763463344e-24,0.0,0.0,0.0,7.929721500238669e-22,0.0,0.0,6.335072191445035e-22,7.632407517109835e-22,1.257831488292998e-22,3.920932026170502e-21,2.1056205277403626,-38.98306305008462
26,cell_10,cell_16,14.458581637491465,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,5.543451162806328e-18,0.0,5.412055248695531e-18,0.0,1.0438780971093321e-19,7.561048187053584e-22,1.0256522537304827e-21,1.8371024563963158e-23,1.6664889743463485e-26,0.0,0.0,2.62219292613861e-22,0.0,0.0,6.208183657013793e-21,8.300112561655916e-24,1.674861424131175e-20,1.9806423344728896e-21,2.6712881232260717,-39.73391441351351
28,cell_11,cell_16,8.641454230647046,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,8.127736189002635e-18,0.0,8.118330890775647e-18,0.0,2.4704858322637257e-21,2.627851091050715e-21,0.0,3.556516443510584e-24,0.0,0.0,0.0,5.472743541957614e-22,0.0,0.0,4.370785430430819e-22,5.269214228263124e-22,8.6781409596709e-23,2.705349057567838e-21,2.156570882385094,-39.351249240645124
29,cell_11,cell_21,15.855910908854243,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,3.1520362708814034e-18,0.0,3.0629548579925168e-18,0.0,4.303505571606792e-23,4.5421992441458245e-23,0.0,0.0,0.0,0.0,0.0,3.783147943853594e-20,0.0,0.0,2.5380040348199873e-23,5.110929481646566e-20,1.3637312839323166e-25,2.666517225093133e-23,2.7635423588063475,-40.29848299470407
30,cell_11,cell_25,42.42969052406017,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,5.2835471744030366e-18,0.0,5.2284855216338075e-18,0.0,7.946935703148281e-22,4.573390733273888e-22,0.0,4.872999592415418e-25,0.0,0.0,3.2175188594163644e-21,4.64005707903285e-20,0.0,0.0,8.659454539754285e-22,7.319652177539138e-22,2.293611677843837e-25,2.5929031429855528e-21,3.747848365387496,-39.7819339884063
41,cell_16,cell_19,66.65285161761444,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,2.685804963443258e-17,0.0,2.6108316263237155e-17,0.0,6.804265751324507e-19,6.781095347956028e-23,2.9400402837419906e-21,0.0,1.8842251154146087e-23,0.0,0.0,4.599585281955108e-23,0.0,0.0,8.676245310376849e-21,8.172044948943444e-23,5.725391992900363e-20,2.2222103291306197e-22,4.199497830669924,-38.15596609770395
42,cell_16,cell_25,46.39690777657492,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,1.1480284715778453e-17,0.0,1.1285747592934772e-17,0.0,1.2540507403460324e-19,6.266808177692298e-22,2.743469747876459e-21,1.1687821512357671e-23,0.0,0.0,0.0,1.128259680230739e-21,0.0,0.0,5.86457320087437e-20,3.203107184999713e-23,2.1011920060522342e-22,5.734068460489108e-21,3.8372328142652528,-39.00590048228295
52,cell_21,cell_25,41.89785357370612,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,1.2649763776531795e-17,0.0,1.239675259005129e-17,0.0,6.311243663906175e-21,3.1375475481208697e-23,1.765516133308595e-21,0.0,0.0,0.0,0.0,2.259705634447031e-19,0.0,0.0,9.847683204017915e-21,8.920147359291036e-21,9.563976717664521e-25,1.6370080212568682e-22,3.735234598258077,-38.908893132685606
