,contractility
cell_0,0.02246684306379734
cell_1,0.036602912560101473
cell_2,0.1648594228616416
cell_3,0.20233441348608192
cell_4,0.14999123370941453
cell_5,0.041970688402273346
cell_6,0.023145161166604634
cell_7,0.055901659728551656
cell_8,0.02705015895607212
cell_9,0.024175663651857828
cell_10,0.028649251885878697
cell_11,0.02705015895607212
cell_12,0.11944208164200208
cell_13,0.02771526698702324
cell_14,0.20233441348608192
cell_15,0.23672603041858922
cell_16,0.023145161166604634
cell_17,0.023491805875491267
cell_18,0.023491805875491267
cell_19,0.02771526698702324
cell_20,0.02771526698702324
cell_21,0.0166593693822715
cell_22,0.025295422429781146
cell_23,0.032566231213869055
cell_24,0.02771526698702324
cell_25,0.008808453041688416
cell_26,0.025295422429781146
cell_27,0.025295422429781146
cell_28,0.022719746398444766
cell_29,0.024133421915185947
cell_30,0.03378764345301274
cell_31,0.03931514213619045
cell_32,0.025386949956760038
cell_33,0.0023394623196735255
cell_34,0.025358531055490036
cell_35,0.05115230748168753
cell_36,0.03991585483182731
cell_37,0.022719746398444766
cell_38,0.05526030351070312
cell_39,0.05458827488661115
cell_40,0.03307294963076488
cell_41,0.048280074737907734
cell_42,0.03307294963076488
cell_43,0.052088138566651426
cell_44,0.022719746398444766
cell_45,0.03685377740780204
cell_46,0.0273335308527774
cell_47,0.0023394623196735255
cell_48,0.05115230748168753
cell_49,0.05457776989072704
cell_50,0.057897543810341866
cell_51,0.04071231125029667
cell_52,0.02794472108786073
cell_53,0.0023394623196735255
cell_54,0.02550163813560355
cell_55,0.04824568772719387
cell_56,0.036244419947411496
cell_57,0.02483027317402916
cell_58,0.031186357127570546
cell_59,0.04824568772719387
cell_60,0.0442398307523575
cell_61,0.030336529728008366
cell_62,0.02483027317402916
cell_63,0.00578435987675494
cell_64,0.0442398307523575
cell_65,0.036244419947411496
cell_66,0.057897543810341866
cell_67,0.01833437934169421
cell_68,0.011294438611919387
cell_69,0.04101979614109204
cell_70,0.05376699545972135
cell_71,0.031186357127570546
cell_72,0.01924172026984709
cell_73,0.058498396540946275
cell_74,0.05114196459656231
cell_75,0.057031432029373025
cell_76,0.021503905228723086
cell_77,0.0645767864374034
cell_78,0.027805196471813523
cell_79,0.028590270026853343
cell_80,0.032176817859980784
cell_81,0.029910732420765144
cell_82,0.03241496780318058
cell_83,0.01601813096084773
cell_84,0.0442398307523575
cell_85,0.03592332042670736
cell_86,0.010775725119516494
cell_87,0.06943991991828463
cell_88,0.058498396540946275
cell_89,0.057031432029373025
cell_90,0.015148791564479219
cell_91,0.015148791564479219
cell_92,0.04370676334047947
cell_93,0.015148791564479219
cell_94,0.0333102214458201
cell_95,0.02668797548517158
cell_96,0.02752815925427975
cell_97,0.01601813096084773
cell_98,0.059993814446435825
cell_99,0.008355110280358189
cell_100,0.010775725119516494
cell_101,0.044690013655616874
cell_102,0.009449904909549917
cell_103,0.06534958119629058
cell_104,0.0050529687482810965
cell_105,0.016913196660073876
cell_106,0.0050529687482810965
cell_107,0.00417348296440301
cell_108,0.018291777493721215
cell_109,0.023262775431096085
cell_110,0.06534958119629058
cell_111,0.06468698451744696
cell_112,0.015124033297845113
cell_113,0.011990743549629593
cell_114,0.07336022446815357
cell_115,0.02181373680235983
cell_116,0.044690013655616874
cell_117,0.040021802099178244
cell_118,0.01601813096084773
cell_119,0.010509028232797212
cell_120,0.031713695749423294
cell_121,0.024243523151611733
cell_122,0.047715565376337435
cell_123,0.011383661052589929
cell_124,0.026777984545366004
cell_125,0.011990743549629593
cell_126,0.036925117017974456
cell_127,0.04351241062349396
cell_128,0.007879389384389911
cell_129,0.07336022446815357
cell_130,0.03046892624094481
cell_131,0.031713695749423294
cell_132,0.01895099067787128
cell_133,0.03445544535493122
cell_134,0.03520535701028131
cell_135,0.011990743549629593
cell_136,0.03881232546705831
cell_137,0.01895099067787128
cell_138,0.01671135005593873
cell_139,0.040021802099178244
cell_140,0.05963979110246754
cell_141,0.047715565376337435
cell_142,0.08294589279078285
cell_143,0.006964951615431645
cell_144,0.04113921737700677
cell_145,0.06810016040401082
cell_146,0.03900830753655585
cell_147,0.021522806241463167
cell_148,0.029728877496449008
cell_149,0.047715565376337435
cell_150,0.019779156494461873
cell_151,0.036492477463025946
cell_152,0.06259301003101882
cell_153,0.03883835220363137
cell_154,0.024044306253838865
cell_155,0.03251094673838291
cell_156,0.0709085088223873
cell_157,0.03537107263552381
cell_158,0.0
cell_159,0.019161509366554856
cell_160,0.025546764128846402
cell_161,0.02480895268185793
cell_162,0.022119312681789807
cell_163,0.039898370217230666
cell_164,0.05041813832011239
cell_165,0.07672440677063255
cell_166,0.037832564364976624
cell_167,0.03537107263552381
cell_168,0.028010772514615975
cell_169,0.03491207997965837
cell_170,0.03619911404334298
cell_171,0.026691138559507728
cell_172,0.04247883311264546
cell_173,0.07104903868213719
cell_174,0.06103485686763179
cell_175,0.0526949314418862
cell_176,0.04262935330766957
cell_177,0.004663691713577823
cell_178,0.02508606534969583
cell_179,0.019203739653769043
cell_180,0.0677747079127005
cell_181,0.015975510334936202
cell_182,0.028327235885523598
cell_183,0.0264062841817295
cell_184,0.021810349293180736
cell_185,0.033806480585636095
cell_186,0.05462908281093719
cell_187,0.03619911404334298
cell_188,0.027179779747505826
cell_189,0.01523959506910826
cell_190,0.0043310860084186786
cell_191,0.01967557095629304
cell_192,0.005634224296487998
cell_193,0.01523959506910826
cell_194,0.06256547244715768
cell_195,0.045249927456059484
cell_196,0.0401415084968612
cell_197,0.02681866634839323
