,pressure,perimeter,feret_d,area,centroid_x,centroid_y,stresstensor_eigval1,stresstensor_eigval2,stresstensor_orientation,stresstensor_anisotropy,inertiatensor_eigval1,inertiatensor_eigval2,inertiatensor_orientation,inertiatensor_anisotropy,moments_hu_1,moments_hu_3,bbox_x,bbox_y,celltype,celltype_conf,cluster,cluster_conf,phenograph_clusters,boundary_annotation
cell_0,1.531219723,1022.759451,307.2995281,46641,6375.19753,274.8190219,0.010474934,0.003852237,0.440454127,0.462247385,5379.652768,2628.629141,0.67811783,0.343522326,0.171700476,3.83e-05,283,253,Neural crest,1.0,2.0,1.0,1,Neural Crest
cell_1,0.373210536,1170.0965,391.6950344,49679,6093.346484,322.7437146,0.007082942,0.00082235,1.435401509,0.791949441,8088.430599,2243.296085,0.424853891,0.565746142,0.207969699,0.000759046,361,245,Cranial mesoderm,1.0,2.0,1.0,1,Neural Crest
cell_2,0.932617564,1210.487373,351.8081864,55855,6527.732432,433.609274,0.009321555,0.004951561,0.543243267,0.306169562,5817.059342,3718.174084,1.398694139,0.220118917,0.170714053,3.18e-05,299,327,Surface ectoderm,1.0,1.0,1.0,6,Neural Crest
cell_3,0.802038653,1016.670094,299.541316,46313,6294.116037,494.3269924,0.01558271,0.010958834,1.542675633,0.174212746,5102.749611,2829.393209,0.023743525,0.286600538,0.17127249,0.000103123,277,215,Endothelium,1.0,5.0,1.0,4,Neural Crest
cell_4,3.725188391,1067.682287,305.6304959,43653,6030.764071,494.1473896,0.019992529,0.005796988,1.471059184,0.550438442,5462.377133,2387.479254,0.233588744,0.391713902,0.179823984,5.1e-06,301,215,Endothelium,1.0,5.0,1.0,4,Neural Crest
cell_5,0.763739578,586.5929291,180.6239187,16105,5166.863893,499.0473145,0.012444349,0.001325441,0.45648239,0.807485608,2128.32151,812.6817557,0.782492929,0.44734386,0.182614298,0.000327466,167,157,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,0,Forebrain/Midbrain/Hindbrain
cell_6,0.093960731,469.4568901,150.4426801,9231,4918.427798,523.2941176,0.050141629,0.009434452,0.869378664,0.683280542,1185.760814,498.3516438,0.730223612,0.408172962,0.182440955,0.000350299,147,125,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,0,Forebrain/Midbrain/Hindbrain
cell_7,0.455799471,653.5218613,190.664627,16329,5294.686754,558.5585155,0.007507074,0.002912175,0.602882378,0.44100093,1753.641555,1188.680637,0.476079642,0.192011915,0.180189981,1.06e-05,177,169,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,0,Forebrain/Midbrain/Hindbrain
cell_8,0.124337952,465.8650071,147.122398,9833,4842.798739,558.3856402,0.001231743,0.000151159,0.712642838,0.781388288,1208.722156,539.0399059,0.998335022,0.383165572,0.17774454,0.00015177,125,141,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,0,Forebrain/Midbrain/Hindbrain
cell_9,0.485173198,489.2253967,163.4044063,12579,5421.675411,565.2904046,0.014090242,0.001176187,0.15215107,0.845911951,1426.979706,749.1745084,1.082243314,0.311469285,0.172998984,0.000329117,121,135,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,0,Forebrain/Midbrain/Hindbrain
