,cell_1,cell_2,tension,relative_adhesion,log_tension,log_adhesion
0,cell_0,cell_2,97.47410304329884,1.314316013405239e-18,4.579586732910949,-41.17321528548097
1,cell_0,cell_3,64.16536112511788,4.430411524107003e-17,4.161463518750685,-37.65545410632391
2,cell_0,cell_6,137.58173548511513,2.1553457441840512e-17,4.924218180388966,-38.375995432075435
3,cell_1,cell_8,335.6401035946046,1.903840065943822e-16,5.816039465649791,-36.19748855404276
4,cell_1,cell_15,101.7748177879019,5.4520914044370286e-17,4.622762704045036,-37.447947301901095
5,cell_2,cell_6,90.90230170497657,5.30782073606218e-17,4.5097853221497255,-37.474765237406395
6,cell_2,cell_11,118.17870802564056,4.9504285562104805e-18,4.772197953598849,-39.84705752404758
7,cell_2,cell_12,142.53492049838476,1.4553613613436646e-18,4.959587025816372,-41.07127744579339
8,cell_3,cell_6,131.4003651070137,1.0238948748831826e-16,4.87824888463884,-36.81774762780433
9,cell_3,cell_9,164.06192387306652,3.9499970199884085e-17,5.100243941148944,-37.77023175641934
10,cell_4,cell_5,36.877472778265926,2.57053590525412e-17,3.6076008708053227,-38.19983218028446
11,cell_4,cell_7,3.550069066456614,4.947651868974406e-17,1.266967058637963,-37.54503348677134
12,cell_4,cell_21,40.68139373198252,4.279968547020867e-17,3.7057708314583295,-37.69000092015897
13,cell_5,cell_17,75.5002193272745,7.934612120342817e-17,4.324135561247773,-37.072712110239586
14,cell_5,cell_21,41.627791775315146,3.058916945164395e-17,3.7287680157287784,-38.02588566707461
15,cell_6,cell_9,132.99509548899707,6.698719599249684e-17,4.890312251519238,-37.242030177354266
16,cell_6,cell_11,75.67519636104561,1.2009424908429063e-16,4.326450449698544,-36.658254830347296
17,cell_7,cell_19,53.846245591651616,8.680267145195757e-17,3.986132681425375,-36.98289427560384
18,cell_7,cell_21,41.94398138143974,3.404496406309563e-17,3.736334951379225,-37.918849550529146
19,cell_8,cell_15,390.1471336601032,1.3309479101191464e-16,5.966523933771982,-36.555470085156045
20,cell_8,cell_25,229.90323807886108,1.6380292028164894e-16,5.4376585163974855,-36.34786767429548
21,cell_8,cell_27,375.1256637873522,7.47902521732788e-17,5.927261073268735,-37.13184411594364
22,cell_9,cell_11,67.49510718511229,6.390126408539949e-17,4.212055109104752,-37.28919253046087
23,cell_9,cell_23,90.12392575499436,4.6515140408875995e-17,4.5011856760333195,-37.60675381410487
24,cell_9,cell_26,167.6855379582462,2.863479113703486e-17,5.122090427532948,-38.09190922204829
25,cell_10,cell_13,231.05718773064595,6.155179197942153e-17,5.442665245815937,-37.32665270747948
26,cell_10,cell_24,175.52338288210663,1.425259434964477e-16,5.167772269826299,-36.487007631130766
