,pressure,perimeter,feret_d,area,centroid_x,centroid_y,stresstensor_eigval1,stresstensor_eigval2,stresstensor_orientation,stresstensor_anisotropy,inertiatensor_eigval1,inertiatensor_eigval2,inertiatensor_orientation,inertiatensor_anisotropy,moments_hu_1,moments_hu_3,bbox_x,bbox_y,celltype,celltype_conf,cluster,cluster_conf,phenograph_clusters,boundary_annotation,polygon_perimeter
cell_0,0.3488686412238098,877.58178182427,299.2941696725815,28453,3054.065581836713,321.1783643201068,0.0075734044049104,0.0011348723693264,0.293761485938948,0.7393577630228895,4644.841931664051,1226.1173845897074,0.7869378442131971,0.582311060751111,0.2063388506046377,0.0006734642561828,237,229,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,2,Forebrain/Midbrain/Hindbrain,677.2400887233142
cell_1,0.1312390163172322,983.3746750430836,331.2657543423407,36753,8081.224879601665,444.6567627132479,0.0118971940826683,0.0073672360488119,0.24215791294509,0.2351462256053972,6220.1018498875,1638.061495464443,0.4558582785488356,0.5830930400719282,0.213810120135824,0.0017212153356348,301,219,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,2,Forebrain/Midbrain/Hindbrain,809.4461921134472
cell_2,1.1782581444367304,706.7056274847714,229.0785891348207,17755,3292.006646015207,435.1361869895804,0.017676753341944,0.0078192980065801,0.1053846047897665,0.3866267446913722,2529.475549211685,945.0159132287208,0.2043701519943744,0.4560263431673753,0.1956908736941935,0.0010883503102523,229,157,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,2,Forebrain/Midbrain/Hindbrain,565.2685283996575
cell_3,0.9041853033730736,398.5807358037436,117.38824472663352,7229,3068.169041361184,443.6060312629686,0.0214929671799939,0.0018320143047148,1.0609774167448398,0.8429139756517366,762.4829770337174,474.66620106748223,1.368456697297402,0.2326451660485939,0.1711369730393138,0.0005044349708046,105,113,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,2,Forebrain/Midbrain/Hindbrain,327.88594299846255
cell_4,0.3467249501119231,807.747258045114,256.46247288833507,27875,7619.6991210762335,530.7329865470851,0.0013952306892438,0.0001588952963605,0.6612849165924042,0.795518126802585,3076.9971134462808,1769.3453133639914,1.2840618504844852,0.2698224114021075,0.1738598180021622,0.0001342983258175,193,253,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,6,Forebrain/Midbrain/Hindbrain,666.7235803186596
cell_5,0.4405277674636926,879.4274528917194,292.6585040623286,35807,7432.395034490462,513.9439774345798,0.0010943487282822,5.33057036347672e-05,0.4254730897907159,0.9071049574640236,4416.9893594018295,1990.9285576497568,0.5025334066820459,0.378603601537448,0.1789571289706366,0.0002612448776501,241,221,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,4,Forebrain/Midbrain/Hindbrain,742.6855184698
cell_6,1.2641851698342392,585.4507934888323,183.698121928342,14633,3174.830725073464,493.3520125743184,0.0267038411602285,0.017918495980577,0.1635672701584098,0.1968822285558331,1848.155158501777,796.8107055887491,0.3977882629639529,0.3974888550308508,0.1807534930698097,0.0004414121161887,183,129,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,2,Forebrain/Midbrain/Hindbrain,465.9926400415476
cell_7,0.3486919490553852,764.3685783886737,239.97083156083784,22813,7746.114057774076,591.7490027615833,0.0027161237904578,0.00043652481484,0.9568259187076676,0.7230742340858881,3060.6316503326184,1277.3500272847382,1.0227959136188354,0.4110855590398322,0.1901539331792116,0.0013937559650633,197,231,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,2,Forebrain/Midbrain/Hindbrain,625.8701321221126
cell_8,2.657783520578838,930.3330444827408,277.3463538610161,40363,8147.229269380373,598.6694745187424,0.0266152524948641,0.0190979831772025,0.8141865615596098,0.1644440435498426,3716.1894515851895,2905.072540851166,0.7186853549998911,0.1225018601681347,0.1640428608487069,0.0001488227296837,275,233,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,6,Forebrain/Midbrain/Hindbrain,779.0769510467699
cell_9,1.1037042472928509,698.7645019878171,200.5243127403757,21823,3075.5042386472987,587.313201667965,0.0097311319694347,0.0049617784081972,0.5891472245628467,0.3246023720731458,2027.467892943496,1629.3689133858156,0.0017455111784973,0.1088643001155108,0.1675680156866293,0.0005278725838385,199,161,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,2,Forebrain/Midbrain/Hindbrain,565.5604750007932
