,pressure,perimeter,feret_d,area,centroid_x,centroid_y,stresstensor_eigval1,stresstensor_eigval2,stresstensor_orientation,stresstensor_anisotropy,inertiatensor_eigval1,inertiatensor_eigval2,inertiatensor_orientation,inertiatensor_anisotropy,moments_hu_1,moments_hu_3,bbox_x,bbox_y,celltype,celltype_conf,cluster,cluster_conf,phenograph_clusters
cell_1,0.483209734560216,760.6761902332485,261.7728022541685,21123,4207.011267338919,102.10434123940728,0.0085190030829756,0.0003331646133078,0.4647537248176223,0.9247269991399504,3507.3794700424714,970.89574419233,0.3490756868627848,0.5663974643156334,0.2120094311525257,0.0014122535706607,259,163,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,2
cell_2,1.035749388729263,390.5452018978108,140.21768789992225,6339,4069.2599779144975,73.10427512225903,0.047448308668483,0.0087669374734519,0.2557613153785235,0.6880939575958884,1015.5906997275758,257.0080746123982,0.3659101739960838,0.5960893884316462,0.200757023874424,4.771617356371166e-05,131,79,Low quality,1.0,4.0,1.0,5
cell_3,1.1372937466428672,510.8883476483184,184.39631232755173,11395,3766.08565160158,89.447038174638,0.0329740437056011,0.0241278957274964,0.4070903941398966,0.1549185205603941,1680.2687329283258,516.1784098163207,0.2169433772589794,0.529987861058826,0.1927553438126061,4.771974734030904e-05,177,101,Neural crest,1.0,4.0,1.0,7
cell_4,1.48668902098923,402.9888527117068,125.01599897613104,8563,2924.8582272568024,89.32523648254117,0.0249185670831584,0.0124092477024769,0.6176542141906844,0.3351205917763861,827.2368456269276,582.9447617870495,0.2794106614119145,0.1732344845199523,0.1646831259388038,1.070609694563696e-05,125,97,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,2
cell_5,0.3972381459552834,573.5512985522207,183.43936327844145,13909,3068.2563807606584,103.64670357322596,0.0091108068403934,0.0057607029186608,1.1867511955231145,0.2252699272643086,2011.4989946897767,688.9143813664699,0.2529783744747681,0.4897711680182993,0.194148635851337,0.0006449104214574,181,125,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,2
cell_6,1.5355471702643329,412.3086578651014,134.39121995130486,7373,3889.001627560017,98.6384104163841,0.0403537144573026,0.0326558336000914,1.20198640604499,0.105436632084885,801.5152422346943,486.0900721067355,0.548916392083607,0.2449703854238043,0.1746379105305072,0.0009670405050612,131,103,Low quality,1.0,4.0,1.0,7
cell_7,0.9100087303470856,569.2792206135786,173.07223925286226,15339,2814.001695025752,140.1002020992242,0.0093546062413338,0.0006900988928982,1.0935485919324508,0.862594494576769,1291.31798368274,1217.4582693521936,0.2094024930898339,0.0294405346994162,0.1635553982029424,0.0002958008658684,173,143,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,2
cell_8,0.7086323043704725,558.7350647362942,181.4304274370757,13177,3528.12400394627,167.2121120133566,0.0114149360320785,0.0035980470446293,0.3033614143650945,0.5206752680336267,1329.1282173288205,923.4727938629876,0.9280088748123764,0.1800831223329729,0.1709494582372169,0.0003852218769016,169,149,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,2
cell_9,0.4408850529761552,710.7056274847714,213.3775995740884,19003,4264.067515655423,195.7731937062569,0.0103597525818173,0.0029891362410971,0.5148980464607235,0.5521520508933977,2811.7999582452367,946.809147805811,0.6880112443481765,0.4961917448230905,0.197790301849763,0.0002693980274401,181,195,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,2
cell_10,0.1889812277934052,574.7645019878171,202.74368054269905,10655,3625.8044110746127,173.67217268887845,0.0283463744529167,0.0140504683221831,0.0479858804431469,0.3371927057533084,2187.78429843541,396.08395983598734,0.9416712813097494,0.693417836944236,0.2425028867453211,0.0012637276460278,169,155,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,2
