,cell_1,cell_2,tension,relative_adhesion,log_tension,log_adhesion
0,cell_1,cell_2,189.6915643185364,3.068694572073685e-18,5.245399407415242,-40.32527942354863
1,cell_1,cell_3,33.66622540769508,1.6586184068889877e-20,3.51649512138513,-45.54571688906056
2,cell_1,cell_4,265.57541363322844,2.8258214214494966e-19,5.581898844165489,-42.710317675898786
3,cell_2,cell_4,346.03470027740656,2.523638302391221e-20,5.846539059848131,-45.12600022880238
4,cell_3,cell_4,248.32294306670943,8.801809053449443e-21,5.514730088836305,-46.179329678262675
5,cell_3,cell_7,333.7155695573282,2.2627135811027214e-20,5.810289042017809,-45.23513706725702
6,cell_3,cell_8,179.51635188535678,4.1947486513227985e-20,5.190266300633622,-44.617868438008806
7,cell_4,cell_7,393.6384330041381,2.15682666033053e-18,5.975432805238739,-40.67789367117508
8,cell_5,cell_6,212.20436152610768,5.0260586943430885e-18,5.357549779814591,-39.83189555669733
9,cell_5,cell_11,169.4356779872659,7.586390741482013e-19,5.13247337389832,-41.72276081671018
10,cell_5,cell_13,42.65925955436491,4.3384759641050614e-17,3.7532443559859825,-37.67642345480215
11,cell_5,cell_14,3.8125912332671015,6.968385317005234e-18,1.3383090716844837,-39.50514813779383
12,cell_6,cell_13,168.84914422218466,2.3247732665350666e-17,5.129005678546211,-38.30032406638468
13,cell_6,cell_15,178.54314996034503,1.6796327170948634e-17,5.184830308478662,-38.62537143216148
14,cell_6,cell_23,168.11290344345528,6.934785689674582e-18,5.12463579798889,-39.509981523318075
15,cell_7,cell_8,180.61671839744625,1.1977016951498367e-18,5.196377208112847,-41.26612720758491
16,cell_7,cell_9,208.9715533677345,3.419861216272616e-17,5.342198134412886,-37.9143466106849
17,cell_7,cell_16,221.7884325527369,1.3033063560141506e-17,5.401723920953644,-38.879042194494204
18,cell_8,cell_16,175.2037740868617,7.961485762888654e-19,5.165949719861951,-41.67450113081897
19,cell_8,cell_24,60.60145845524711,2.984240155018343e-19,4.104318959703934,-42.6557716068795
20,cell_9,cell_12,15.068040966088349,1.304629601437346e-16,2.7125760085736665,-36.57544231773373
21,cell_9,cell_16,137.544971435849,2.6920372570997934e-17,4.923950928620525,-38.15364832927901
22,cell_9,cell_38,72.71087831883787,5.3717682066975093e-17,4.286491006341968,-37.46278945158689
23,cell_9,cell_50,74.14368818585372,8.359433221159806e-18,4.306004942720159,-39.323141045606484
24,cell_10,cell_12,67.24518597127079,9.252337931080323e-17,4.208345431849364,-36.91907031200419
25,cell_10,cell_34,72.00541536362104,5.606081016792823e-17,4.276741329571296,-37.420094676460245
26,cell_10,cell_46,16.84197751290851,7.699155476564417e-17,2.823874431427507,-37.10283593642251
27,cell_10,cell_62,21.10898793818035,5.077200230770731e-17,3.0496989184172776,-37.51918660691453
28,cell_11,cell_14,166.1522436963671,4.5226598878927474e-18,5.1129044987501535,-39.937431382356976
29,cell_11,cell_18,209.9775761034783,5.088625084291949e-18,5.347000744556403,-39.819524000783886
30,cell_12,cell_46,63.3075946704671,6.61239238369377e-17,4.1480053009495474,-37.255001058524485
31,cell_12,cell_50,73.39447932637435,1.5934743556474283e-17,4.295848719254656,-38.67802981925159
32,cell_13,cell_14,40.945754416448246,1.2360657084635406e-17,3.7122481276702093,-38.93201306108901
33,cell_13,cell_23,2.8328698747139907,4.673576387334174e-17,1.0412902878181796,-37.602021980610814
34,cell_13,cell_37,36.026313391904644,2.216018771285094e-17,3.584249599011569,-38.3482343412531
35,cell_13,cell_48,63.08314341438749,2.911186384178384e-18,4.144453593040756,-40.37797098363577
36,cell_13,cell_49,62.28507380146548,2.893688374229185e-17,4.131721811236856,-38.08141463843584
37,cell_14,cell_18,81.26983611701901,4.602543049845293e-18,4.397774928238151,-39.919922686232916
38,cell_14,cell_37,42.72422234664147,9.971179458627966e-18,3.754766027470097,-39.14683279615097
39,cell_15,cell_23,251.3169854138893,8.059954255066484e-18,5.52671503245202,-39.359623792940454
40,cell_15,cell_31,252.38730509505675,1.0079748846154574e-17,5.530964832631359,-39.1360033276161
41,cell_15,cell_41,239.32917333926363,1.001991535820078e-17,5.477839898638233,-39.14195702555713
42,cell_16,cell_24,175.16768502187094,3.4590679369519833e-18,5.165743715267797,-40.20553250349696
43,cell_16,cell_38,189.11094948698505,1.057132692236331e-17,5.24233387714507,-39.08838634524231
44,cell_17,cell_26,53.28063955149742,4.985657686483719e-18,3.975573029754262,-39.8399663460854
45,cell_17,cell_40,147.75532984174876,3.489305301602118e-17,4.995557729014589,-37.89424391848051
46,cell_17,cell_59,162.90735729364783,2.1880879363565448e-17,5.09318167906723,-38.360918506855725
47,cell_18,cell_30,35.59192635286893,8.463293388637096e-17,3.5721188242969735,-37.008208193597106
48,cell_18,cell_43,37.76083214813074,4.0781587074873735e-17,3.6312723788557295,-37.7383009915324
49,cell_19,cell_20,128.17451020044493,1.8965878725188387e-16,4.85339269632792,-36.20130507278499
50,cell_19,cell_25,198.29964066012488,1.8793490928659836e-17,5.2897792234218635,-38.51302109120634
51,cell_19,cell_32,107.39884768383018,1.0540213888242954e-16,4.67654945281637,-36.788748744989284
52,cell_20,cell_22,137.89726008026255,1.9590399674648071e-16,4.926508915713271,-36.1689069471776
53,cell_20,cell_32,187.02395248324123,2.039325149083722e-17,5.231236696797676,-38.431327637044795
54,cell_20,cell_42,99.36921739890175,4.6611858129602325e-17,4.598842381584824,-37.6046766988318
55,cell_21,cell_26,65.15810281511608,9.503437790602001e-20,4.176816667519856,-43.8000482540396
56,cell_21,cell_27,65.50850755204492,1.1582280929304249e-20,4.182180020497475,-45.90481052868393
57,cell_21,cell_51,94.06625658542838,8.74380140228753e-20,4.543999391266563,-43.88335682172029
58,cell_22,cell_29,183.4658654037522,4.782241232272554e-17,5.212028630592753,-37.579037267239435
59,cell_22,cell_42,94.5321412656998,5.747582100190873e-17,4.548939895886024,-37.39516731884088
60,cell_22,cell_54,179.25587298070027,2.4176202043195532e-17,5.188814243131002,-38.26116291121687
