,cell_1,cell_2,tension,type,distance_to_boundary,relative_adhesion,Cdh1,Cdh2,Cdh3,Cdh4,Cdh15,Cdh6,Cdh7,Cdh8,Cdh9,Cdh10,Cdh11,Cdh12,Cdh18,Cdh20,Cdh22,Cdh24,Cdh13,log_tension,log_adhesion
4,cell_9,cell_12,15.068040966088349,Midbrain_awayfrom_boundary,5,1.304629601437346e-16,0.0,1.1513668034564346e-16,0.0,1.1355467633175201e-19,4.924130138986255e-24,2.3434349638020547e-20,0.0,0.0,0,0.0,4.8094515550574066e-24,0,0,1.134688073734165e-18,1.3894007228818003e-17,3.956429692741719e-21,1.566293062947671e-19,2.7125760085736665,-36.57544231773373
7,cell_10,cell_12,67.24518597127079,Midbrain_awayfrom_boundary,4,9.252337931080323e-17,0.0,8.628027339340737e-17,0.0,1.5517595844901974e-19,2.419746487491025e-22,1.9685428016610117e-22,0.0,0.0,0,0.0,8.838997065493981e-22,0,0,2.0217694592478823e-19,5.883838380917463e-18,3.0968088254978515e-23,5.609353808626279e-22,4.208345431849364,-36.91907031200419
8,cell_10,cell_34,72.00541536362104,Midbrain_awayfrom_boundary,3,5.606081016792823e-17,4.787741158163019e-24,5.397612824282101e-17,7.986609355774824e-24,3.164104538119214e-19,1.0196126031477726e-20,1.9000371221528035e-24,0.0,4.89379251992982e-20,0,0.0,1.2885793725527212e-19,0,0,4.429498858145409e-20,1.5359498294450515e-18,6.108844739435544e-25,1.9379510638941488e-23,4.276741329571296,-37.420094676460245
9,cell_10,cell_46,16.84197751290851,Midbrain_awayfrom_boundary,4,7.699155476564417e-17,0.0,7.313517006994364e-17,0.0,4.2895656978196925e-19,4.0900088293447e-21,4.626894748016464e-23,0.0,3.446885150691191e-22,0,0.0,5.5962577205602305e-21,0,0,2.652717583996578e-21,3.414298314459299e-18,2.9292524703705495e-24,3.9694061033707014e-22,2.823874431427507,-37.10283593642251
10,cell_10,cell_62,21.10898793818035,Midbrain_awayfrom_boundary,4,5.077200230770731e-17,0.0,4.823551275297213e-17,6.718568155688457e-24,3.1252652783108923e-19,4.8724264035866565e-21,1.58636522533241e-23,0.0,2.2952806997159976e-20,0,0.0,6.831380452810701e-20,0,0,1.4728135449096692e-21,2.1262045681547188e-18,1.133960174161032e-24,1.2289109502448013e-22,3.0496989184172776,-37.51918660691453
11,cell_12,cell_46,63.3075946704671,Midbrain_awayfrom_boundary,5,6.61239238369377e-17,0.0,6.067809844185258e-17,0.0,1.8917375074221708e-19,5.0161097238203963e-23,3.3261559476300643e-21,0.0,0.0,0,0.0,1.835124591351369e-23,0,0,9.014220651852802e-21,5.1770942563380776e-18,2.2566421970029473e-22,6.692283484251107e-20,4.1480053009495474,-37.255001058524485
12,cell_12,cell_50,73.39447932637435,Midbrain_awayfrom_boundary,5,1.5934743556474283e-17,0.0,1.5016071711024165e-17,0.0,4.6178344650255336e-20,1.2342166795950156e-22,1.5453680450188337e-21,0.0,0.0,0,0.0,1.8881791650158837e-22,0,0,1.2518772358025736e-21,8.509521461472488e-19,2.7996350339539892e-21,1.5632234753380032e-20,4.295848719254656,-38.67802981925159
13,cell_19,cell_20,128.17451020044493,Hindbrain_awayfrom_boundary,1,1.8965878725188387e-16,6.188074522071311e-25,1.7879893151494518e-16,0.0,6.628028550414843e-18,6.419514773253899e-20,1.5456125958037075e-18,0.0,4.6446276392169836e-23,0,4.9139508335849706e-23,2.2282330875399435e-18,0,0,1.6725200486009074e-19,5.851914008154552e-20,8.357876539615933e-20,8.434024051766006e-20,4.85339269632792,-36.20130507278499
14,cell_19,cell_25,198.29964066012488,Hindbrain_awayfrom_boundary,2,1.8793490928659836e-17,0.0,1.7409691880836975e-17,0.0,1.0355419345703861e-18,1.7555022401502075e-20,0.0,0.0,6.386864228820824e-22,0,4.951351994070513e-22,1.6524603799931663e-19,0,0,2.5345951483806328e-20,3.5400440653287156e-20,2.844629932490671e-20,7.512953976736648e-20,5.2897792234218635,-38.51302109120634
15,cell_19,cell_32,107.39884768383018,Hindbrain_awayfrom_boundary,2,1.0540213888242954e-16,2.5007349365324755e-25,1.0301661057977654e-16,0.0,1.6241834575079127e-18,2.2925602238281573e-20,3.0275442865846e-21,0.0,1.301596641397122e-21,0,1.9861006156441035e-23,2.7044115105774362e-19,0,0,1.7690456424424194e-19,6.276505786462071e-22,9.852649361603808e-20,1.8757013140249984e-19,4.67654945281637,-36.788748744989284
17,cell_20,cell_32,187.02395248324123,Hindbrain_awayfrom_boundary,1,2.039325149083722e-17,4.548948320097984e-26,1.9949306894116285e-17,0.0,3.044518072093283e-19,4.176444275523288e-21,5.6838110862158105e-22,0.0,2.367850204446279e-22,0,3.612992567415675e-24,4.982954723577416e-20,0,0,3.2367780965232577e-20,1.1482660295976058e-22,1.8002115974962286e-20,3.419324984603766e-20,5.231236696797676,-38.431327637044795
18,cell_20,cell_42,99.36921739890175,Hindbrain_awayfrom_boundary,1,4.6611858129602325e-17,1.8536361467717436e-23,4.374047937292226e-17,0.0,1.8822547805778358e-18,2.241720648802348e-22,9.435337306208984e-20,0.0,1.003203400687871e-21,0,0.0,4.608443340388111e-19,0,0,6.024514906522525e-22,3.560640707353933e-19,2.3617269595188873e-22,7.577766225229199e-20,4.598842381584824,-37.6046766988318
19,cell_22,cell_29,183.4658654037522,heterotypic,0,4.782241232272554e-17,2.529021500278283e-23,4.438048372560596e-17,0.0,2.093744050432777e-18,1.0637661877827163e-21,2.9744226025276484e-19,0.0,3.6199739382805735e-24,0,2.5478320253791607e-24,6.83465501723959e-19,0,0,1.6915189888717304e-19,5.954534874532651e-20,6.443640457046156e-20,7.304790829837453e-20,5.212028630592753,-37.579037267239435
22,cell_25,cell_32,153.63290005677777,Hindbrain_awayfrom_boundary,2,3.45842970370951e-17,0.0,3.306998375833197e-17,8.123484766510812e-25,7.536936731692264e-19,1.7466119848868694e-20,0.0,0.0,4.981759389450378e-20,0,5.567093300343822e-22,5.70482301045062e-20,0,0,7.496512617096669e-20,1.0617553818423805e-21,9.367304761803846e-20,4.660302108966698e-19,5.03456599085549,-37.90313193770551
23,cell_25,cell_35,107.59788770114956,Hindbrain_awayfrom_boundary,3,5.793911134950505e-18,0.0,5.329758703552655e-18,1.4801864582238975e-26,2.1750956491328223e-19,5.11940728399514e-21,0.0,0.0,1.1689682155602339e-20,0,2.5983262308675977e-21,2.2747906696652818e-20,0,0,1.2177978304747633e-20,5.991153814984847e-20,1.9578640542027638e-20,1.1281937231896087e-19,4.678401016504784,-39.68972411208984
