,contractility
cell_1,0.03232793242316637
cell_2,0.032833404891448446
cell_3,0.07560277143947224
cell_4,0.11163910853461569
cell_5,0.043978867626653664
cell_6,0.03522756038858717
cell_7,0.021689967017212
cell_8,0.0610818247428758
cell_9,0.010016357233902656
cell_10,0.01816130758081119
cell_11,0.0810761351632969
cell_12,0.010016357233902656
cell_13,0.04561587660691705
cell_14,0.024006948231892557
cell_15,0.03829993583150925
cell_16,0.03136024315231646
cell_17,0.019266820062231793
cell_18,0.017787805017622418
cell_19,0.04364243182476776
cell_20,0.04364243182476776
cell_21,0.06893482998226833
cell_22,0.04364243182476776
cell_23,0.00603829996269713
cell_24,0.21944739069275856
cell_25,0.03572601747327737
cell_26,0.059270579755297204
cell_27,0.03788030686315676
cell_28,0.024729458895220904
cell_29,0.05273195856753734
cell_30,0.009776248376776243
cell_31,0.06140745725709201
cell_32,0.035485410056210455
cell_33,0.06620862905287023
cell_34,0.028057672855576355
cell_35,0.039801102377462365
cell_36,0.021863126909739274
cell_37,0.12586201547469017
cell_38,0.017244604477557633
cell_39,0.043925494170345164
cell_40,0.016325521103339718
cell_41,0.05092261086790061
cell_42,0.023648666858803555
cell_43,0.02974390761447624
cell_44,0.042239160419078124
cell_45,0.06140745725709201
cell_46,0.024929186598706472
cell_47,0.04250416922556846
cell_48,0.035637169935250956
cell_49,0.03038267734125706
cell_50,0.018515825810807122
cell_51,0.10597643673310715
cell_52,0.041177780311300004
cell_53,0.007359914726138641
cell_54,0.05335313695048354
cell_55,0.01399311526876724
cell_56,0.05885592238282935
cell_57,0.04072651117578817
cell_58,0.008302209063585312
cell_59,0.020138581160665477
cell_60,0.031116510575019133
cell_61,0.01656370597079248
cell_62,0.025640347578800755
cell_63,0.060962836981021055
cell_64,0.041177780311300004
cell_65,0.042354188245150685
cell_66,0.012251432824970864
cell_67,0.060962836981021055
cell_68,0.032166174066678495
cell_69,0.008469531542138536
cell_70,0.025949624994797416
cell_71,0.035799695539984376
cell_72,0.03452782766578061
cell_73,0.05885592238282935
cell_74,0.022136329532857067
cell_75,0.029391953036411848
cell_76,0.024929186598706472
cell_77,0.060962836981021055
cell_78,0.05019331437351745
cell_79,0.035799695539984376
cell_80,0.07906070978530888
cell_81,0.015480207400588286
cell_82,0.019151834426609032
cell_83,0.09239897165836919
cell_84,0.060962836981021055
cell_85,0.07436567513961131
cell_86,0.15829399740114727
cell_87,0.006055373238114346
cell_88,0.025826464223621393
cell_89,0.03773200330973827
cell_90,0.019607657858517837
cell_91,0.01622885460249093
cell_92,0.049957445578152994
cell_93,0.026462217259476346
cell_94,0.044029245981402405
cell_95,0.09405281965556728
cell_96,0.04971424319045939
cell_97,0.046414338275266295
cell_98,0.024929186598706472
cell_99,0.03787624321104272
cell_100,0.03631281047351174
cell_101,0.006055373238114346
cell_102,0.025625059050053668
cell_103,0.046414338275266295
cell_104,0.0295806857573252
cell_105,0.003532431430424976
cell_106,0.03800776452574509
cell_107,0.03464854242607483
cell_108,0.03465247158911333
cell_109,0.02717524166188941
cell_110,0.03940345251879881
cell_111,0.014533865556160798
cell_112,0.033466290313122725
cell_113,0.06272936172115706
cell_114,0.04962011818692656
cell_115,0.045452903883859995
cell_116,0.054596074474759344
cell_117,0.01901337262645785
cell_118,0.003532431430424976
cell_119,0.09405281965556728
cell_120,0.03464854242607483
cell_121,0.05960347545471442
cell_122,0.020830306278380024
cell_123,0.03648891521997968
cell_124,0.03421223904921816
cell_125,0.0634732919699715
cell_126,0.07682764147482293
cell_127,0.024929186598706472
cell_128,0.018403795333985604
cell_129,0.012682077238420646
cell_130,0.018403795333985604
cell_131,0.008543176077105627
cell_132,0.03421223904921816
cell_133,0.01744173499466149
cell_134,0.005465637450944863
cell_135,0.03820788069346222
cell_136,0.07022923120695752
cell_137,0.056718857178212796
cell_138,0.024732843915196232
cell_139,0.02054483130248238
cell_140,0.045452903883859995
cell_141,0.05133869466926097
cell_142,0.02758233630531142
cell_143,0.0193223558257557
cell_144,0.023814472152740438
cell_145,0.06835384499980612
cell_146,0.05495839698719338
cell_147,0.04573206158744654
cell_148,0.025652013348534956
cell_149,0.025424941823223707
cell_150,0.025625059050053668
cell_151,0.07823063011529077
cell_152,0.04297288189904423
cell_153,0.026248346109396595
cell_154,0.034091777657551135
cell_155,0.02855135791139075
cell_156,0.05117203772210429
cell_157,0.020613335941207657
cell_158,0.036449378931149475
cell_159,0.05687207286153064
cell_160,0.050693202259839726
cell_161,0.021275573977745616
cell_162,0.004137694444215716
cell_163,0.057150043612504024
cell_164,0.028365077252562026
cell_165,0.01697509775382906
cell_166,0.045272510580385186
cell_167,0.04362620209694502
cell_168,0.03664297409088075
cell_169,0.04140146973642198
cell_170,0.030128896982970107
cell_171,0.05687207286153064
cell_172,0.03473225492693693
cell_173,0.045576525663014754
cell_174,0.02010364302029671
cell_175,0.05271957731719398
cell_176,0.06502830208292006
cell_177,0.03441677335794085
cell_178,0.045452903883859995
cell_179,0.014197204035260777
cell_180,0.04140078972064463
cell_181,0.014170170833747928
cell_182,0.030221800291046767
cell_183,0.057818737075867405
cell_184,0.05819148171158197
cell_185,0.048826874535895
cell_186,0.005984940933716189
cell_187,0.0285307185689296
cell_188,0.037170054014308125
cell_189,0.014197204035260777
cell_190,0.019014083332304827
cell_191,0.05448148779493154
cell_192,0.057818737075867405
cell_193,0.03426243186501753
cell_194,0.048007935263672405
cell_195,0.07531162436812373
cell_196,0.0492738378639221
cell_197,0.026248346109396595
cell_198,0.023883236827300654
cell_199,0.036227080454449556
cell_200,0.035566020284259516
cell_201,0.08862325241462815
cell_202,0.011859159865872304
cell_203,0.04337641647236633
cell_204,0.03632319842001398
cell_205,0.016237832518730334
cell_206,0.04426896875088852
cell_207,0.013535837437182003
cell_208,0.03747919508337977
cell_209,0.06893143486321468
cell_210,0.036261290475619004
cell_211,0.05515900525506333
cell_212,0.050903835199821515
cell_213,0.04979898058688424
cell_214,0.034638848670177885
cell_215,0.03583177807989764
cell_216,0.01062496373499123
cell_217,0.06900000987864296
cell_218,0.01678901079903013
cell_219,0.022878753028031832
cell_220,0.03615366851544714
cell_221,0.012628177451910694
cell_222,0.01678901079903013
cell_223,0.04337641647236633
cell_224,0.06918918559620148
cell_225,0.027405275551250847
cell_226,0.020805571447061966
cell_227,0.03218435273388051
cell_228,0.03727735909085268
cell_229,0.028563460441344706
cell_230,0.02565039118654076
cell_231,0.03383912261467993
cell_232,0.01370981452415711
cell_233,0.04337641647236633
cell_234,0.01863213330316858
cell_235,0.039689432301740685
cell_236,0.021399306625369856
cell_237,0.06206663631351556
cell_238,0.020328062833492224
cell_239,0.039383387687103526
cell_240,0.04430519208449512
cell_241,0.04979898058688424
cell_242,0.020590573601017678
cell_243,0.010209692982199417
cell_244,0.04386357720710213
cell_245,0.07234412501714177
cell_246,0.0324042500004594
cell_247,0.0328796450315927
cell_248,0.037368714440253144
cell_249,0.03150059976651544
cell_250,0.03950975181111031
cell_251,0.060926435278775844
cell_252,0.04337690982797557
cell_253,0.054221552004030595
cell_254,0.0389036298369636
cell_255,0.04437654610567447
cell_256,0.061136156757699935
cell_257,0.03292962504734987
cell_258,0.054221552004030595
cell_259,0.04430132192347256
cell_260,0.04962953221011737
cell_261,0.031580350690676724
cell_262,0.029688387136792584
cell_263,0.017052949225719937
cell_264,0.043744579125733936
cell_265,0.021811704905369888
cell_266,0.03225249643172136
cell_267,0.02261218067580166
cell_268,0.04504094998820008
cell_269,0.04359817604031923
cell_270,0.039383387687103526
cell_271,0.04359817604031923
cell_272,0.02253857308112992
cell_273,0.029579118430594305
cell_274,0.03888443291175719
cell_275,0.07296788756183692
cell_276,0.05319273948610951
cell_277,0.047555321620272185
cell_278,0.04359817604031923
cell_279,0.013571601560720032
cell_280,0.03511360987745259
cell_281,0.03292962504734987
cell_282,0.0805539883252751
cell_283,0.014474102887570449
cell_284,0.061136156757699935
cell_285,0.07773027692822447
cell_286,0.02121733069661248
cell_287,0.04889055413992338
cell_288,0.023090806751646823
cell_289,0.0412048232694153
cell_290,0.009187708601281033
cell_291,0.03364989102775435
cell_292,0.038452371671839805
cell_293,0.032761522334010834
cell_294,0.012341477504166911
cell_295,0.061136156757699935
cell_296,0.0396570314993787
cell_297,0.012395080501662657
cell_298,0.024491511047757188
cell_299,0.036770822603571986
cell_300,0.013471133190477637
cell_301,0.009187708601281033
cell_302,0.061136156757699935
cell_303,0.047496953440980816
cell_304,0.016031846273324775
cell_305,0.02121733069661248
