,cell_1,cell_2,length
0,cell_209,cell_267,138.4629914453678
1,cell_267,cell_297,88.81441324469807
2,cell_297,cell_336,52.03844732503075
3,cell_263,cell_267,112.60550608207397
4,cell_263,cell_297,172.10461934532728
5,cell_297,cell_316,123.43419299367578
6,cell_316,cell_336,34.92849839314596
7,cell_316,cell_333,171.41761869772895
8,cell_209,cell_263,62.76941930590086
9,cell_333,cell_336,156.58863304850706
10,cell_336,cell_355,68.0
11,cell_166,cell_209,117.38824472663352
12,cell_263,cell_316,104.01922899156675
13,cell_209,cell_232,136.85028315644803
14,cell_232,cell_263,155.04837954651444
15,cell_333,cell_355,40.19950248448356
16,cell_433,cell_453,128.9961239727768
17,cell_349,cell_355,116.61903789690601
18,cell_333,cell_349,122.06555615733703
19,cell_166,cell_232,26.68332812825267
20,cell_453,cell_486,139.71399357258383
21,cell_305,cell_316,79.2464510246358
22,cell_263,cell_305,62.289646009589745
23,cell_387,cell_397,98.79271228182775
24,cell_397,cell_406,42.0
25,cell_326,cell_333,103.78824596263297
26,cell_355,cell_368,46.69047011971501
27,cell_316,cell_326,47.20169488482379
28,cell_263,cell_286,130.06152390311286
29,cell_232,cell_286,122.19656296312102
30,cell_286,cell_305,118.92854997854805
31,cell_406,cell_433,38.05259518088089
32,cell_355,cell_362,72.99315036357864
33,cell_362,cell_368,42.941821107167776
34,cell_397,cell_399,80.62257748298549
35,cell_486,cell_498,111.73182178770737
36,cell_399,cell_406,74.4043009509531
37,cell_305,cell_326,144.01388821915754
38,cell_326,cell_349,56.60388679233962
39,cell_349,cell_362,59.09314681077663
40,cell_433,cell_446,103.47946656221224
41,cell_446,cell_453,142.3938200906205
42,cell_406,cell_426,66.24198064671678
43,cell_426,cell_433,107.81465577554843
44,cell_362,cell_365,67.67569726275453
45,cell_365,cell_368,130.38404810405297
46,cell_387,cell_399,49.03060268852505
47,cell_166,cell_174,157.49285698088025
48,cell_342,cell_349,54.037024344425184
49,cell_326,cell_342,144.89996549343965
50,cell_368,cell_383,52.61178575186362
51,cell_406,cell_409,86.02325267042627
52,cell_399,cell_409,127.57742747053649
53,cell_453,cell_478,47.41307836451879
54,cell_478,cell_486,47.07440918375928
55,cell_478,cell_498,151.38031576133008
56,cell_174,cell_205,208.47062143141417
57,cell_205,cell_232,105.60303025955268
58,cell_409,cell_426,102.3132444994293
59,cell_394,cell_399,134.35773144854747
60,cell_387,cell_394,7.211102550927978
61,cell_446,cell_478,104.0
62,cell_286,cell_294,46.04345773288535
63,cell_426,cell_446,34.23448553724738
64,cell_232,cell_294,100.43903623591775
65,cell_294,cell_305,79.6994353806851
66,cell_371,cell_383,132.19682295728592
67,cell_368,cell_371,96.20810776644555
68,cell_142,cell_166,74.24284477308234
69,cell_437,cell_446,60.959002616512684
70,cell_426,cell_437,104.01922899156675
71,cell_365,cell_371,94.40338976964757
72,cell_305,cell_318,46.647615158762406
73,cell_318,cell_326,94.847245611035
74,cell_354,cell_365,77.33160747581098
75,cell_142,cell_174,78.10249675906654
76,cell_342,cell_354,91.30169768410661
77,cell_305,cell_308,74.43117626371358
78,cell_308,cell_318,178.94133116750865
79,cell_446,cell_448,52.952809179494906
80,cell_437,cell_448,116.49892703368559
81,cell_232,cell_255,92.0869154657707
82,cell_205,cell_255,126.1269202034205
83,cell_294,cell_308,18.0
84,cell_498,cell_543,30.0
85,cell_446,cell_459,50.15974481593781
86,cell_448,cell_459,129.87686476043376
87,cell_394,cell_409,15.231546211727817
88,cell_409,cell_415,92.64987857520376
89,cell_459,cell_478,70.9365914038728
90,cell_318,cell_342,106.6770828247567
91,cell_415,cell_426,52.839379254491625
92,cell_283,cell_294,92.02173656261873
93,cell_283,cell_308,234.4013651837378
94,cell_232,cell_283,45.254833995939045
95,cell_394,cell_410,7.211102550927978
96,cell_409,cell_410,26.832815729997478
97,cell_498,cell_501,149.6262009141447
98,cell_501,cell_543,42.0
99,cell_410,cell_415,159.9624956044385
100,cell_83,cell_119,159.66214329013624
101,cell_415,cell_437,44.27188724235731
102,cell_354,cell_371,50.0
103,cell_139,cell_142,171.97674261364529
104,cell_139,cell_174,85.0881895447306
105,cell_478,cell_501,34.40930106817051
106,cell_255,cell_283,65.14598989960932
107,cell_478,cell_480,122.0
108,cell_318,cell_354,53.25410782277739
109,cell_541,cell_543,144.4714504668656
110,cell_501,cell_541,36.71511950137164
111,cell_459,cell_480,52.15361924162119
112,cell_480,cell_501,118.40608092492548
113,cell_434,cell_437,78.0
114,cell_415,cell_434,69.77105417004964
115,cell_119,cell_139,82.0
116,cell_515,cell_541,106.45186705737011
117,cell_501,cell_515,143.68020044529447
118,cell_434,cell_448,60.4648658313239
119,cell_246,cell_283,218.44907873461037
120,cell_246,cell_255,128.2497563350512
121,cell_205,cell_246,45.34313619501854
122,cell_459,cell_464,77.25283166331187
123,cell_464,cell_480,109.17875251164945
124,cell_448,cell_454,32.802438933713454
125,cell_454,cell_459,37.20215047547655
126,cell_410,cell_434,95.35197952848173
127,cell_318,cell_323,106.82696288858914
128,cell_308,cell_323,98.812954616285
129,cell_454,cell_464,90.55385138137417
130,cell_205,cell_221,95.8687870049484
131,cell_221,cell_246,251.4358765172544
132,cell_434,cell_454,56.0
133,cell_95,cell_119,91.21403400793103
134,cell_95,cell_139,95.60334722173695
135,cell_139,cell_144,189.08199279677586
136,cell_318,cell_350,87.8179936004006
137,cell_83,cell_95,110.34491379306978
138,cell_480,cell_488,103.73041983911952
139,cell_488,cell_501,35.608987629529715
140,cell_535,cell_541,62.80127387243033
141,cell_515,cell_535,99.03534722511958
142,cell_488,cell_515,29.732137494637012
143,cell_323,cell_350,68.26419266350405
144,cell_144,cell_181,154.3243337908834
145,cell_464,cell_488,12.165525060596439
