,pressure,perimeter,feret_d,area,centroid_x,centroid_y,stresstensor_eigval1,stresstensor_eigval2,stresstensor_orientation,stresstensor_anisotropy,inertiatensor_eigval1,inertiatensor_eigval2,inertiatensor_orientation,inertiatensor_anisotropy,moments_hu_1,moments_hu_3,bbox_x,bbox_y,celltype,celltype_conf,cluster,cluster_conf,phenograph_clusters,boundary_annotation
cell_1,0.9266376034847156,1138.002092041053,327.00152904841286,52765,2450.250677532455,1742.6291102056286,0.0055478518551093,0.0012875473396113,0.1445922690506433,0.6232707694363304,5473.251600000827,4034.771843095968,0.3636835368477754,0.151291145369362,0.1801956494474897,0.0020268251149446,311,301,Low quality,1.0,2.0,1.0,7,Other
cell_2,0.6300236638411346,1035.481276760882,287.062710918712,39259,2674.191421075422,1771.0884128480093,0.0152277943113932,0.0029964565190137,0.3713903148601206,0.6711572347309679,3827.390039922276,2873.7719506944704,1.0464212023743833,0.1423063776943613,0.1706911024380841,2.7993146986581253e-05,243,281,Low quality,1.0,4.0,1.0,7,Other
cell_3,1.0246496235307612,947.2497833620556,297.9345565724124,38121,2360.252459274416,1941.709871199601,0.0112850034976594,0.0007980142351297,0.7884256348597044,0.8679114352428395,5272.56519953161,2059.8621635336385,1.247155944738384,0.4381499982094515,0.1923461442004472,0.000209172596466,231,263,Low quality,1.0,7.0,1.0,7,Other
cell_4,2.565859425198646,740.1787155501902,249.2889889265068,26205,2502.6741079946573,1967.2082045411184,0.0442722621770012,0.0250289662678687,0.0793431892833202,0.2776761154304898,3329.3792332550884,1381.7135703433887,1.1913928262105624,0.4134212048261951,0.1797783935736873,0.000334871214147,169,223,Low quality,1.0,5.0,1.0,7,Other
cell_5,0.2356065954919388,910.5523445727472,294.89828755013144,29739,6100.577793469854,2154.37929990921,0.0014606521904403,0.0009760870026465,0.8668525130215858,0.1988580432278243,5986.344268799897,1067.3761075352727,0.718964700120548,0.6973579754830489,0.2371875441788618,0.0009106406267694,255,249,Neural crest,1.0,2.0,1.0,6,Hindbrain
cell_6,1.5557528153824864,867.1614716074871,298.30353668704635,32215,5907.380630141239,2153.61725904082,0.0082305339898309,0.0061287717395145,0.7200086292305122,0.1463693502967259,5519.41516829695,1287.7315496040726,0.6712483689151019,0.6216530646481662,0.2113036386124793,0.0005869079979442,247,225,Forebrain/Midbrain/Hindbrain,0.5076564988362121,4.0,0.5076564988362121,1,Hindbrain
cell_7,1.7568467057553916,736.6639969244287,226.76198976018887,26451,2435.532191599561,2136.156402404446,0.0443117882702,0.0284627353056938,0.1562945089520566,0.217782984837789,2752.543270986763,1696.406005112659,0.0030196226335722,0.2373902691019358,0.1681958820498061,1.576230800154191e-05,215,167,Low quality,1.0,4.0,1.0,0,Midbrain
cell_8,0.114101042434059,893.3624817342638,289.66359798911566,29303,2252.423779135242,2165.134047708426,0.0084792401293925,0.0039223011055981,1.1147393828029195,0.3674494111213445,3740.6644650049134,1714.927282300815,0.9919738997489432,0.3713139245993835,0.1861786079004105,0.0002722773146828,209,221,Low quality,1.0,7.0,1.0,7,Other
cell_9,0.3831620511812859,1216.6000717874997,395.0303785786607,36291,2548.39505662561,2237.6141743131907,0.0153796400134791,0.0004276137768162,0.5701458574609668,0.9458965127669696,11670.471054026755,1044.582505861149,0.9997604697003096,0.8356935736147451,0.3503638246366291,0.00232898409449,301,337,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,0,Midbrain
cell_10,0.251052396885168,1113.0609665440988,379.4759544424389,42153,2778.854743434631,2312.339619955875,0.0054495081245055,0.0002115544619471,1.1714914621171346,0.9252598045980162,10734.298348952332,1223.078530386314,1.3403230189929405,0.7954269497853342,0.2836660944497106,0.0016284752730718,215,379,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,0,Midbrain
cell_11,0.8109052602653896,824.9066376115481,302.393783004876,27575,6360.981396192203,2176.168812330009,0.0125581294456246,0.0045228695544424,0.1898225619924281,0.4704209567104764,5511.237257822534,928.4524116190044,0.0536197200626516,0.7116468465787044,0.2335336235518237,3.987928993586807e-05,301,135,Surface ectoderm,1.0,1.0,1.0,6,Hindbrain
cell_12,0.4058300296218229,1044.836615820209,368.13176988681647,41233,2646.4030509543327,2287.617903135838,0.0047942397396386,0.0027621955585754,0.0455445573508565,0.2689157123522925,8361.587418305087,1346.9092654214228,0.9943715095983096,0.7225297985260423,0.2354545311698521,0.0003879214488488,245,331,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,0,Midbrain
cell_13,0.2074825134719171,1064.8010819142764,371.3717813727909,22515,6108.499444814568,2303.6904286031536,0.0127812892506359,0.001789788800134,1.0348890318643649,0.7543368041955634,7430.571237637752,666.16245236554,0.963901793059616,0.8354490890102947,0.3596150872752962,0.0133671740980553,245,309,Endothelium,0.3558752101625256,5.0,0.7005417522884362,7,Other
cell_14,0.1954974617536864,876.8772003600252,280.40149785619906,27283,6286.2854158267055,2284.648609023934,0.0105184132888407,0.0011370738480301,0.4681941248134099,0.8048860876122174,4229.091675806427,1267.463493407733,0.052711118923565,0.5388153290967725,0.2014644712536802,5.109319836716583e-06,279,179,Haematoendothelial progenitors,0.6066756878664862,2.0,1.0,7,Other
cell_15,1.993228113367548,776.048773235279,231.5879962346926,28653,5863.187763933968,2292.46686210868,0.0207335825801001,0.0149618872919595,0.5904333004190762,0.1616926548054293,2874.979465053285,1975.4424668773145,0.7888691493238069,0.1854554120857544,0.1692814690235088,0.0004485728623885,219,205,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,2,Other
cell_16,1.5548531625416755,658.8294731452727,192.26284092356485,21777,2387.642788262846,2273.0156128024983,0.0324444683330203,0.019758469323553,0.1765015470967304,0.2430131249111783,2104.049324602121,1507.7294760381792,0.0756179882721656,0.165104199752827,0.165852909061868,0.0002605340488217,191,169,Low quality,1.0,4.0,1.0,7,Other
cell_17,0.4230131733786296,998.475180106472,303.4616944525289,44967,1548.4806635977495,2326.085507149688,0.0037154425342349,0.0013539089190064,0.2034540993797029,0.4658453131551118,4570.2998244159735,3132.167343996589,0.7396588323735983,0.1867106277735392,0.1712915508798132,0.000655778117296,261,279,Cranial mesoderm,1.0,2.0,1.0,5,Other
cell_18,0.3696134320709182,796.0904037956217,261.6811036357039,27977,6530.478214247418,2298.9857740286666,0.0107077043028634,0.0038627950440666,0.3922908663936419,0.4697786325517342,3174.084898180168,1673.4830079444075,0.5535520175269543,0.3095576832126168,0.1732697539451898,0.0002978491930237,251,191,Neural crest,1.0,2.0,1.0,5,Other
cell_19,1.3090082630236826,537.515764646288,175.410946066658,13127,3845.708387293365,2296.478022396587,0.0186822133547763,0.0072947456723253,1.2721478011324183,0.4383680041443825,1810.411762969204,639.6091950577952,1.4501066523184991,0.4778745112671425,0.1866398231147252,0.0003024714491795,107,175,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,1,Hindbrain
cell_20,1.4004682592540731,665.929978208661,236.81427321848656,19161,3736.36188090392,2300.120244246125,0.0120550909034596,0.0028720469856921,0.4273567676448039,0.6151912031603348,2594.0877174983675,1079.5924492501929,0.8156124462646019,0.4122556127657131,0.1917269540602557,0.0009694762279272,191,157,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,1,Hindbrain
cell_21,0.5045817196394482,723.5573952066305,213.76856644511605,23819,1927.116461648264,2334.782316637978,0.0044304998661599,0.0021517538353529,0.6055372494880995,0.3461954118060285,2393.2715021254994,1653.4468843372238,1.3546792389398632,0.1828208803120999,0.1698945541988632,0.0002817454094853,185,193,Low quality,1.0,7.0,1.0,7,Other
cell_22,1.6012279112544774,692.2264427649427,235.2126697267815,19945,3626.227174730509,2354.650538982201,0.0115390159475203,0.008519205229399,0.5828199941335432,0.1505522693904743,2508.3458363852874,1072.5001865779575,1.5211451270119338,0.4009794446897577,0.1795360252175104,0.0001935832216426,141,235,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,1,Hindbrain
cell_23,0.2221696492263955,616.79393923934,193.6930561481232,17409,6026.294273077144,2347.424033545867,0.0218384331056012,0.0049005250897733,1.210837176375285,0.6334542988573857,2003.5417981845333,1053.9859876383302,0.8985122408626163,0.3105632645266876,0.1756291450297469,0.0006829406689881,149,179,Haematoendothelial progenitors,1.0,5.0,1.0,0,Hindbrain
cell_24,0.4187398434901228,731.0782104868018,237.49736840647307,24707,2236.9346339094186,2349.3216902092527,0.0142591616942647,0.0038307670514272,1.4413224325645322,0.576475164133577,2964.5832191692434,1406.654431698149,0.8999751412968171,0.3564045041481448,0.1769230441116846,0.000412007931045,191,197,Endothelium,1.0,5.0,1.0,5,Other
