source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition
Q9QYE5	Q01705	Jag2	Notch1	1	1	1	1	1	0
Q61483	Q01705	Dll1	Notch1	1	1	0	1	1	0
P05017	Q60751	Igf1	Igf1r	1	1	0	1	1	0
Q9QXX0	Q01705	Jag1	Notch1	1	1	1	1	1	0
P22725	Q9JIP6	Wnt5a	Fzd2	1	1	1	1	1	0
P07321	P14753	Epo	Epor	1	1	0	1	1	0
Q8BSU2	Q9EQ16	Cxcl16	Cxcr6	1	1	0	1	1	0
P09535	Q07113	Igf2	Igf2r	1	1	0	1	1	0
P49772	Q00342	Flt3lg	Flt3	1	1	0	1	1	0
P20826	P05532	Kitlg	Kit	1	1	0	1	1	0
P09535	Q60751	Igf2	Igf1r	1	1	0	1	1	0
P18340	O88410	Cxcl9	Cxcr3	1	1	0	1	1	0
P30882	P51682	Ccl5	Ccr5	1	1	0	1	1	0
P14097	P51682	Ccl4	Ccr5	1	1	0	1	1	0
P01132	Q01279	Egf	Egfr	1	1	0	1	1	0
P22725	Q9EQD0	Wnt5a	Fzd5	1	1	0	1	1	0
P42082	P31041	Cd86	Cd28	1	1	0	1	1	0
Q00609	P31041	Cd80	Cd28	1	1	0	1	1	0
P10107	O88536	Anxa1	Fpr2	1	1	0	1	1	0
Q9QYH9	P50284	Tnfsf14	Ltbr	1	1	0	1	1	0
P27548	P27512	Cd40lg	Cd40	1	1	0	1	1	0
P09225	P25118	Lta	Tnfrsf1a	1	1	0	1	1	0
P01139	Q3UFB7	Ngf	Ntrk1	1	1	0	1	1	0
P07750	P16382	Il4	Il4r	1	1	0	1	1	0
P48030	Q01279	Tgfa	Egfr	1	1	0	1	1	0
P17515	O88410	Cxcl10	Cxcr3	1	1	0	1	1	0
P09920	P40223	Csf3	Csf3r	1	1	0	1	1	0
Q08048	P16056	Hgf	Met	1	1	0	1	1	0
P06804	P25119	Tnf	Tnfrsf1b	1	1	0	1	1	0
P01326	P15208	Ins2	Insr	1	1	0	1	1	0
O55237	P41272	Cd70	Cd27	1	1	0	1	1	0
P41047	P25446	Faslg	Fas	1	1	1	1	1	0
P50592	Q9QZM4	Tnfsf10	Tnfrsf10b	1	1	0	1	1	0
P06804	P25118	Tnf	Tnfrsf1a	1	1	0	1	1	0
P13562	Q01776	Gnrh1	Gnrhr	1	1	0	1	1	0
Q9QXX0	O35516	Jag1	Notch2	1	1	1	1	1	0
Q9QXX0	Q61982	Jag1	Notch3	1	1	1	1	1	0
Q9QYE5	O35516	Jag2	Notch2	1	1	1	1	1	0
Q9QYE5	Q61982	Jag2	Notch3	1	1	1	1	1	0
P22725	O70421	Wnt5a	Fzd1	1	1	0	1	1	0
Q00609	P09793	Cd80	Ctla4	1	1	0	1	1	0
P42082	P09793	Cd86	Ctla4	1	1	0	1	1	0
P10749	P27931	Il1b	Il1r2	1	1	1	1	0	1
P01139	Q9Z0W1	Ngf	Ngfr	1	1	0	1	1	0
P01582	P27931	Il1a	Il1r2	1	1	0	1	1	0
Q61483	O35516	Dll1	Notch2	1	1	0	1	1	0
Q61483	Q61982	Dll1	Notch3	1	1	0	1	1	0
Q9JI71	P31695	Dll4	Notch4	1	1	0	1	1	0
P20109	O09030	Il13	Il13ra1	1	1	0	1	1	0
P20109	O88786	Il13	Il13ra2	1	1	0	1	1	0
O35181	Q61527	Nrg3	Erbb4	1	1	0	1	1	0
P31955	Q01279	Areg	Egfr	1	1	0	1	1	0
Q06186	Q01279	Hbegf	Egfr	1	1	0	1	1	0
Q9WTX4	Q61527	Nrg4	Erbb4	1	1	0	1	1	0
O88516	Q01705	Dll3	Notch1	1	1	0	1	1	0
P22725	Q61088	Wnt5a	Fzd4	1	1	0	1	1	0
Q9JI71	Q01705	Dll4	Notch1	1	1	0	1	1	0
Q8CI19	P26618	Pdgfc	Pdgfra	1	1	0	1	1	0
P20033	P26618	Pdgfa	Pdgfra	1	1	0	1	1	0
P31240	P26618	Pdgfb	Pdgfra	1	1	0	1	1	0
P61148	P16092	Fgf1	Fgfr1	1	1	0	1	1	0
P61148	P21803	Fgf1	Fgfr2	1	1	0	1	1	0
P15655	P21803	Fgf2	Fgfr2	1	1	0	1	1	0
P05524	P21803	Fgf3	Fgfr2	1	1	0	1	1	0
P11403	P21803	Fgf4	Fgfr2	1	1	0	1	1	0
P36363	P21803	Fgf7	Fgfr2	1	1	0	1	1	0
P37237	P21803	Fgf8	Fgfr2	1	1	0	1	1	0
O35565	P21803	Fgf10	Fgfr2	1	1	0	1	1	0
P49766	P35969	Vegfb	Flt1	1	1	0	1	1	0
P52793	Q60750	Efna1	Epha1	1	1	0	1	1	0
P52801	Q03145	Efna2	Epha2	1	1	0	1	1	0
O08543	Q60629	Efna5	Epha5	1	1	0	1	1	0
O35393	P54754	Efnb3	Ephb3	1	1	0	1	1	0
O08543	Q61772	Efna5	Epha7	1	1	0	1	1	0
P52793	O09127	Efna1	Epha8	1	1	0	1	1	0
P52793	Q03137	Efna1	Epha4	1	1	0	1	1	0
O08543	Q03137	Efna5	Epha4	1	1	0	1	1	0
P52793	Q03145	Efna1	Epha2	1	1	0	1	1	0
P52793	P29319	Efna1	Epha3	1	1	0	1	1	0
O08543	P29319	Efna5	Epha3	1	1	0	1	1	0
